,index,name,p_raw,p_corr,es
1132,L5_PT,Lamp5,0.0,2.2250738585072014e-308,2.5906465973183987
1158,L5_PT,Nr4a1,1.675972602637711e-215,5.027917807913133e-214,0.879012076762459
1170,L5_PT,Parm1,0.0,2.2250738585072014e-308,6.1774230191738555
1182,L5_PT,Pou3f1,0.0,2.2250738585072014e-308,5.188309064275578
1183,L5_PT,Pou3f3,2.882679256475994e-68,8.648037769427981e-67,0.41656852020359025
1190,L5_PT,Prss12,0.0,2.2250738585072014e-308,3.1155727657998398
1199,L5_PT,Rab3b,1.5660706521829672e-88,4.698211956548901e-87,0.1188404596955186
1236,L5_PT,Sulf2,0.0,2.2250738585072014e-308,3.752072211115528
1237,L5_PT,Syndig1,1.9499981688349212e-12,5.849994506504764e-11,0.20537750146540645
1249,L5_PT,Tmem163,0.0,2.2250738585072014e-308,6.904360086849186
1252,L5_PT,Tox,0.0,2.2250738585072014e-308,4.5611457582730335
1254,L5_PT,Trpc4,0.0,2.2250738585072014e-308,3.5245695409112345
1287,L6_CT,Bcl11b,0.0,2.2250738585072014e-308,5.796175367504977
1350,L6_CT,Epha7,0.0,2.2250738585072014e-308,1.3800257145337413
1354,L6_CT,Fezf2,0.0,2.2250738585072014e-308,5.2695831979214685
1359,L6_CT,Foxp2,0.0,2.2250738585072014e-308,8.47910568771608
1363,L6_CT,Gad2,0.0,2.2250738585072014e-308,0.19164827025846876
1370,L6_CT,Grm8,0.0,2.2250738585072014e-308,2.816279942869424
1374,L6_CT,Igfbp4,0.0,2.2250738585072014e-308,3.9240592711591473
1430,L6_CT,Penk,3.8818111272864193e-31,7.763622254572838e-30,0.09504674325230145
1451,L6_CT,Pvalb,0.0,2.2250738585072014e-308,0.7184184850504352
1453,L6_CT,Rab3b,0.0,2.2250738585072014e-308,0.2928146116406003
1459,L6_CT,Rgs6,5.607382664999724e-117,1.1214765329999448e-115,0.4437595959885652
1460,L6_CT,Rnf152,0.0,2.2250738585072014e-308,6.513856654978831
1469,L6_CT,Sema5a,0.0,2.2250738585072014e-308,7.547973326464085
1475,L6_CT,Slc17a7,0.0,2.2250738585072014e-308,0.20919772477909326
1493,L6_CT,Syt6,0.0,2.2250738585072014e-308,9.131362152264604
1494,L6_CT,Tac2,0.0,2.2250738585072014e-308,0.8026306924825617
1517,L6_CT,Vip,3.545126471750723e-65,7.090252943501446e-64,0.07367462111355216
1521,L6_CT,Wipf3,0.0,2.2250738585072014e-308,0.6259312946615783
1541,L6_IT,Bcl11b,0.0,2.2250738585072014e-308,3.455763079524706
1547,L6_IT,C1ql3,0.0,2.2250738585072014e-308,2.7494866122880417
1604,L6_IT,Epha7,1.0769350958448803e-88,2.584644230027713e-87,0.45891999434617503
1617,L6_IT,Gad2,4.804209305874973e-27,1.1530102334099936e-25,0.04740397853296585
1624,L6_IT,Grm8,0.0,2.2250738585072014e-308,1.8425058193414507
1629,L6_IT,Igfbp5,8.360206669229142e-48,2.006449600614994e-46,0.37665840434449116
1668,L6_IT,Ntng2,0.0,2.2250738585072014e-308,2.7733516410945382
1684,L6_IT,Penk,0.0,2.2250738585072014e-308,0.47760737296433664
1701,L6_IT,Ptprk,0.0,2.2250738585072014e-308,1.4941711922360241
1703,L6_IT,Ptprt,0.0,2.2250738585072014e-308,1.5247053667285524
1704,L6_IT,Ptpru,0.0,2.2250738585072014e-308,4.807256604235075
1705,L6_IT,Pvalb,5.569628586199528e-89,1.336710860687887e-87,0.2656669530869449
1713,L6_IT,Rgs6,1.139923744364072e-122,2.735816986473773e-121,0.5080286290215046
1720,L6_IT,Satb2,6.891826072791206e-191,1.6540382574698895e-189,0.3248146666211582
1727,L6_IT,Shisa9,0.0,2.2250738585072014e-308,1.717067253407616
1729,L6_IT,Slc17a7,0.0,2.2250738585072014e-308,0.21377902295866846
1732,L6_IT,Slc30a3,0.0,2.2250738585072014e-308,2.068654161434674
1745,L6_IT,Syndig1,3.440804624133605e-175,8.257931097920653e-174,0.6228338677706287
1748,L6_IT,Tac2,0.0,2.2250738585072014e-308,0.41774605728393865
1752,L6_IT,Tenm3,0.0,2.2250738585072014e-308,3.044329434558052
1771,L6_IT,Vip,0.11537379266151426,1.0,0.0061023661390002815
1775,L6_IT,Wipf3,0.0,2.2250738585072014e-308,1.0538197908572435
1804,L6_IT_Car3,Calb1,9.896691094010709e-82,2.4741727735026773e-80,0.40403919684259915
1820,L6_IT_Car3,Cdh13,0.0,2.2250738585072014e-308,5.269084963730869
1839,L6_IT_Car3,Col25a1,1.4068625136695941e-198,3.517156284173985e-197,2.29791788932678
1876,L6_IT_Car3,Grin3a,0.0,2.2250738585072014e-308,5.8242041929433235
1899,L6_IT_Car3,Luzp2,5.4856968479214015e-244,1.3714242119803503e-242,2.548261605455335
1921,L6_IT_Car3,Nr4a2,0.0,2.2250738585072014e-308,9.381584946661148
1922,L6_IT_Car3,Ntng2,0.0,2.2250738585072014e-308,4.463213755850884
1927,L6_IT_Car3,Olfm3,0.0,2.2250738585072014e-308,4.189931192399262
1945,L6_IT_Car3,Pou3f3,0.42137038772372576,1.0,0.011523176903198262
1955,L6_IT_Car3,Ptprk,1.957245850487644e-24,4.89311462621911e-23,0.6613800388056568
1957,L6_IT_Car3,Ptprt,0.0,2.2250738585072014e-308,2.1106985144096697
1958,L6_IT_Car3,Ptpru,0.0,2.2250738585072014e-308,4.89843650812079
1959,L6_IT_Car3,Pvalb,1.1953465577011578e-45,2.9883663942528944e-44,0.39172416029923074
1974,L6_IT_Car3,Satb2,0.41311662633916696,1.0,0.00888884003576429
1977,L6_IT_Car3,Sema5a,0.0,2.2250738585072014e-308,6.050307625359148
2002,L6_IT_Car3,Tac2,3.7932241601471925e-40,9.483060400367981e-39,0.30514239141107335
2006,L6_IT_Car3,Tenm3,6.255912208439028e-259,1.563978052109757e-257,2.234334917344179
2011,L6_IT_Car3,Tmem163,0.0,2.2250738585072014e-308,7.500127948859678
2023,L6_IT_Car3,Unc5d,4.081873008556358e-187,1.0204682521390895e-185,2.128639112584694
2025,L6_IT_Car3,Vip,1.047048674428781e-104,2.6176216860719524e-103,0.22728010779769559
2049,L6b,Bcl11b,0.0,2.2250738585072014e-308,3.400762797490379
2058,L6b,Calb1,3.5640837100056034e-227,7.484575791011768e-226,0.5747611942134325
2095,L6b,Cplx3,0.0,2.2250738585072014e-308,9.827942334848649
2112,L6b,Epha7,3.608497088631899e-11,7.577843886126989e-10,0.31746501178845143
2125,L6b,Gad2,4.050601679457899e-72,8.506263526861588e-71,0.15464224259221915
2137,L6b,Igfbp5,0.0,2.2250738585072014e-308,2.7021666334992336
2179,L6b,Nxph4,0.0,2.2250738585072014e-308,9.73655977179052
2192,L6b,Penk,1.1347894607437092e-140,2.3830578675617894e-139,0.3972813140594713
2206,L6b,Prss12,0.0,2.2250738585072014e-308,3.7432890047359857
2213,L6b,Pvalb,1.8889676876410744e-141,3.966832144046256e-140,0.5255040280819809
2215,L6b,Rab3b,0.0,2.2250738585072014e-308,0.5945674421466318
2228,L6b,Satb2,5.4455535808058535e-34,1.1435662519692292e-32,0.30608109006617923
2231,L6b,Sema5a,0.0,2.2250738585072014e-308,6.352624027994521
2235,L6b,Shisa9,3.456875495827568e-101,7.259438541237893e-100,1.0065700040248169
2237,L6b,Slc17a7,1.887333157123929e-307,3.963399629960251e-306,0.27468308272617037
2256,L6b,Tac2,0.0,2.2250738585072014e-308,0.7902727943360786
2260,L6b,Tenm3,1.0719709809871352e-254,2.251139060072984e-253,1.678020127859071
2265,L6b,Tmem163,0.0,2.2250738585072014e-308,7.6257061501387575
2269,L6b,Trp53i11,0.0,2.2250738585072014e-308,4.644287385166134
2279,L6b,Vip,4.6466531593090234e-195,9.757971634548949e-194,0.30956419845719996
