,index,name,p_raw,p_corr,es,cluster,chromosome
6715,F,Rbm45-201_ENSMUST00000046389,1.8827369408687252e-08,6.826804147589998e-05,0.4557497772473704,Sst,2
6907,F,Olfr1124-202_ENSMUST00000215909,9.70369533149593e-09,3.518559927200424e-05,0.30252945399370457,Sst,2
7431,F,Olfr1307-201_ENSMUST00000099604,3.1514791612446614e-08,0.00011427263438673143,0.3185648126095382,Sst,2
7497,F,Gm13977-201_ENSMUST00000133648,1.8369472084242244e-07,0.0006660770577746238,0.3959370777477321,Sst,2
7979,F,Gm17555-201_ENSMUST00000164042,5.166268333003385e-07,0.0018732888975470274,0.5331441098862508,Sst,2
8598,F,Gm14133-202_ENSMUST00000148202,2.819825526009529e-13,1.0224687357310551e-09,0.8527536910013975,Sst,2
9153,F,Snhg11-201_ENSMUST00000109488,6.69969236285615e-07,0.00242930845077164,0.3072256416515149,Sst,2
9642,F,Gnas-206_ENSMUST00000109084,2.0943973671179228e-11,7.594284853169588e-08,0.45864914216003605,Sst,2
10226,F,Dynlt3-201_ENSMUST00000033519,1.1699906768029733e-06,0.004242386194087581,0.4210883679651367,Sst,X
11104,F,Eif2s3x-201_ENSMUST00000050328,9.184848404283093e-08,0.00033304260313930497,0.9272649352353421,Sst,X
11309,F,Tsix-201_ENSMUST00000152916,1.2291158100757905e-48,4.4567739273348163e-45,3.7962484289732155,Sst,X
11311,F,Xist-201_ENSMUST00000127786,2.400488130661111e-22,8.70416996177719e-19,1.7416473697469739,Sst,X
12057,F,Trappc2-202_ENSMUST00000112194,8.564369017095134e-08,0.00031054402055986956,0.4692501536080451,Sst,X
12110,F,Gm8797-201_ENSMUST00000192045,9.476866446392187e-07,0.003436311773461807,0.5631486609092118,Sst,3
13758,F,Tpm3-215_ENSMUST00000149734,1.9733055980472598e-07,0.0007155206098519364,0.5578510275159623,Sst,3
13984,F,Mllt11-201_ENSMUST00000065482,8.327806179469177e-09,3.0196625206755233e-05,0.32075321771212284,Sst,3
14569,F,Gstm5-204_ENSMUST00000169365,1.1144760164870495e-09,4.0410900357820415e-06,0.665532544790346,Sst,3
14819,F,Snx7-204_ENSMUST00000196421,4.176933926871944e-09,1.5145562418837667e-05,0.23827044877196019,Sst,3
15253,F,Eif4e-204_ENSMUST00000200020,1.54739588477145e-18,5.6108574781812775e-15,0.7119104608738056,Sst,3
16111,F,Ddx58-208_ENSMUST00000140616,1.2661712650913776e-06,0.004591137007221335,0.6054150070161415,Sst,4
16628,F,Acnat1-202_ENSMUST00000107697,6.0160730421743236e-18,2.1814280850924098e-14,0.782258355031743,Sst,4
17147,F,Nfia-204_ENSMUST00000107057,3.651333777308923e-12,1.3239736276522154e-08,0.20473187564139725,Sst,4
18244,F,Csmd2-201_ENSMUST00000129619,3.226153206557321e-07,0.0011698031526976847,0.31377663493596636,Sst,4
18821,F,Rpl11-207_ENSMUST00000147059,6.086700034061185e-08,0.00022070374323505859,1.106604058910182,Sst,4
18877,F,Cdc42-201_ENSMUST00000030417,7.507650038067748e-07,0.0027222739038033654,0.200984371046542,Sst,4
18981,F,Capzb-202_ENSMUST00000042675,2.4160176497587194e-06,0.008760479998025117,0.7899137374604135,Sst,4
19568,F,Tnfrsf14-205_ENSMUST00000219534,1.252656813451907e-21,4.542133605576614e-18,0.6251383018018042,Sst,4
19912,F,Gm26825-201_ENSMUST00000181751,2.5257781617049393e-06,0.00915847161434211,0.42424366903324917,Sst,5
20268,F,Rheb-202_ENSMUST00000146310,1.9264161274551833e-06,0.0069851848781524945,0.8452798306207434,Sst,5
20298,F,Gm10062-201_ENSMUST00000072180,1.3231072878617641e-16,4.797587025786757e-13,1.083890391739351,Sst,5
20558,F,Ppm1g-202_ENSMUST00000200740,7.867728546265525e-18,2.8528383708758795e-14,0.7283125064828783,Sst,5
25702,F,Prr15-201_ENSMUST00000059138,1.8720862212850497e-08,6.78818463837959e-05,0.4288182101149911,Sst,6
26103,F,Gm20594-201_ENSMUST00000179797,7.109206471364278e-07,0.0025777982665166873,0.26228450088102306,Sst,6
26584,F,Sec61a1-208_ENSMUST00000145421,2.1012422230846606e-08,7.619104300904979e-05,0.567235677410691,Sst,6
26657,F,Vmn1r47-204_ENSMUST00000228680,2.1180578661784455e-07,0.0007680077822763043,0.29245974986525325,Sst,6
27028,F,Brpf1-206_ENSMUST00000131594,7.124873003298172e-24,2.5834789509959173e-20,0.7344953793455773,Sst,6
27666,F,Gapdh-206_ENSMUST00000147954,1.126369112082077e-06,0.004084214400409611,0.3413001572841532,Sst,6
27669,F,Gapdh-201_ENSMUST00000073605,4.0035714257290185e-08,0.0001451694998969342,0.8099472033311179,Sst,6
28667,F,Vmn1r76-203_ENSMUST00000226947,5.404788526711809e-09,1.959776319785702e-05,0.3251622797554543,Sst,7
28668,F,Vmn1r81-202_ENSMUST00000227080,1.027725275694552e-08,3.726531849668445e-05,0.31494290270284253,Sst,7
28749,F,Vmn1r87-203_ENSMUST00000227443,1.653245389436969e-07,0.000599466778209845,0.33323605794594036,Sst,7
29230,F,Lipe-201_ENSMUST00000003207,1.1920373097918798e-10,4.3223272853053564e-07,0.5331557057394598,Sst,7
29645,F,Zfp260-207_ENSMUST00000182136,7.594185355433473e-29,2.7536516098801773e-25,0.7636553206162673,Sst,7
29779,F,Cox6b1-204_ENSMUST00000208838,2.74493879045474e-08,9.953148054188888e-05,1.5322432544851283,Sst,7
29880,F,Uba2-210_ENSMUST00000206651,9.823846153919445e-07,0.003562126615411191,0.46770387515248113,Sst,7
30702,F,Ldha-214_ENSMUST00000210815,1.2652772610755158e-07,0.000458789534865982,1.41868139382656,Sst,7
31836,F,Rab6a-203_ENSMUST00000107048,2.1270627050249025e-12,7.712729368420296e-09,1.6774983669392682,Sst,7
32042,F,Olfr635-202_ENSMUST00000209473,8.673490276569853e-08,0.0003145007574284229,0.35646193568861806,Sst,7
32527,F,Gm45792-201_ENSMUST00000207795,2.9431583500095205e-11,1.0671892177134522e-07,0.4336331102220712,Sst,7
33558,F,Olfr46-203_ENSMUST00000214180,4.784140181348828e-07,0.0017347292297570848,0.38141064556115944,Sst,7
33699,F,Cend1-204_ENSMUST00000164387,1.7671877904990466e-06,0.006407822928349543,0.9561388737870611,Sst,7
33848,F,Tnfrsf26-201_ENSMUST00000055723,4.0116941441150866e-17,1.4546402966561303e-13,0.4450116618476548,Sst,7
34035,F,Gm48278-201_ENSMUST00000219020,2.2363380032097897e-07,0.0008108961599638697,0.5239716169312345,Sst,10
34939,F,Npffr1-201_ENSMUST00000020287,3.822653749710847e-17,1.3860942496451532e-13,0.6706523255032011,Sst,10
35597,F,Gpx4-207_ENSMUST00000183037,4.931891442993134e-07,0.0017883038372293104,0.9294245638814016,Sst,10
36517,F,Gm47578-201_ENSMUST00000222959,1.2297459467462993e-08,4.459058802902081e-05,0.5405994833838035,Sst,10
38051,F,Dctn6-207_ENSMUST00000143411,1.5931728383157496e-07,0.0005776844711732908,0.9553815996249324,Sst,8
38389,F,Gm26905-201_ENSMUST00000180798,8.164760641734232e-08,0.0002960542208692833,0.45234539264365203,Sst,8
38452,F,Gm45518-201_ENSMUST00000210776,2.3102102186118957e-06,0.008376822252686733,0.41833368142843774,Sst,8
38454,F,Msmo1-206_ENSMUST00000145216,1.5843390928186812e-06,0.005744813550560538,0.8205811516183297,Sst,8
39156,F,Scoc-201_ENSMUST00000081506,1.64119200387767e-09,5.950962206060431e-06,0.34290191015814386,Sst,8
39174,F,Tecr-213_ENSMUST00000212703,1.6243595144838063e-11,5.8899275995182817e-08,1.5733693619637146,Sst,8
40909,F,Gm3839-201_ENSMUST00000181173,2.7373731648397217e-06,0.009925715095708831,0.38606237223312045,Sst,14
41290,F,CT025624.1-201_ENSMUST00000224007,4.3176177205871744e-08,0.00015655681854849095,0.5146896102716849,Sst,14
41786,F,AC160336.1-201_ENSMUST00000226445,4.280397413751909e-07,0.0015520721022264422,0.2490374592212492,Sst,14
42078,F,Slc39a2-202_ENSMUST00000160668,5.305133480928649e-09,1.9236414001847283e-05,0.4984287739705293,Sst,14
43652,F,Olfr839-ps1-201_ENSMUST00000212127,1.4821142636776445e-09,5.374146320095139e-06,0.35451411062447913,Sst,9
43715,F,Ubl5-205_ENSMUST00000160874,3.275243513380039e-14,1.1876032979516023e-10,1.9526185597899188,Sst,9
44282,F,Olfr907-203_ENSMUST00000214264,6.035628366601924e-10,2.1885188457298577e-06,0.3786573620996678,Sst,9
44336,F,Hspa8-204_ENSMUST00000127699,3.973848237615387e-13,1.4409173709593394e-09,1.4441573707939885,Sst,9
45513,F,Car12-206_ENSMUST00000217394,2.7515031719011783e-13,9.976950501313673e-10,0.4061706052356868,Sst,9
45864,F,Klhl31-201_ENSMUST00000057781,6.977544401708387e-08,0.00025300576000594614,0.1446100333392135,Sst,9
45899,F,Eef1a1-201_ENSMUST00000042235,1.3918040558385443e-07,0.0005046681506470561,0.2133100327456514,Sst,9
45921,F,Cox7a2-203_ENSMUST00000215933,9.501829811499998e-09,3.445363489649899e-05,0.26073554459498816,Sst,9
46077,F,Cyb5r4-202_ENSMUST00000174043,1.6479942985027035e-07,0.0005975627326370803,0.41071449403132676,Sst,9
46159,F,Morf4l1-204_ENSMUST00000187771,8.651290854442507e-11,3.136958063820853e-07,0.4956797214326487,Sst,9
47698,F,Slc6a20b-201_ENSMUST00000026273,2.7374052975441643e-06,0.00992583160889514,0.15738878207510468,Sst,9
47946,F,Znrf3-201_ENSMUST00000109867,6.260719264453171e-12,2.27013680529072e-08,0.30911822668253774,Sst,11
48575,F,Thg1l-202_ENSMUST00000109254,2.2470729777570606e-12,8.147886617347102e-09,0.5455851266583772,Sst,11
48653,F,Olfr1385-202_ENSMUST00000214948,5.988200532781028e-15,2.171321513186401e-11,0.47086656665276283,Sst,11
52989,F,Psma2-202_ENSMUST00000221168,2.40269099675761e-08,8.712157554243094e-05,0.31414987457456434,Sst,13
53127,F,Vmn1r197-203_ENSMUST00000227017,1.7752633398321053e-06,0.006437104870231214,0.31126833427868406,Sst,13
53196,F,Ripor2-209_ENSMUST00000175986,4.1665744540877154e-10,1.5107998970522056e-06,0.4801747408383523,Sst,13
53373,F,Gm48765-201_ENSMUST00000223888,1.253274213191083e-08,4.544372297030867e-05,0.5163616386113277,Sst,13
54877,F,Ssbp2-203_ENSMUST00000133984,7.00289813057976e-08,0.0002539250862148221,0.6654684250276302,Sst,13
55172,F,Ak6-205_ENSMUST00000190729,8.683668194853622e-12,3.1486980874539233e-08,0.6172963435945853,Sst,13
56164,F,Gm34923-201_ENSMUST00000222673,1.8179383810305518e-06,0.006591844569616781,0.25500941516467174,Sst,12
56487,F,Fkbp3-206_ENSMUST00000221608,5.8504424803981366e-36,2.1213704433923643e-32,1.8455983467890453,Sst,12
56686,F,Rtn1-205_ENSMUST00000150156,1.1346881642556303e-08,4.114379283590915e-05,0.9929081885198228,Sst,12
56688,F,Rtn1-201_ENSMUST00000021497,1.3390978872316368e-11,4.855568939101915e-08,0.33871217238010765,Sst,12
57183,F,Isca2-202_ENSMUST00000220726,2.543308513492902e-06,0.009222036669925264,0.9902997421639101,Sst,12
57806,F,Hsp90aa1-201_ENSMUST00000021698,4.4089795323141625e-07,0.0015986959784171154,0.6166306379532438,Sst,12
58365,F,March6-202_ENSMUST00000226207,3.0585224139404544e-09,1.1090202272948088e-05,0.30160709643171657,Sst,15
60858,F,Olfr161-202_ENSMUST00000216259,3.927325636219906e-08,0.0001424048275693338,0.29656821187056015,Sst,16
61285,F,Gm21897-201_ENSMUST00000178312,2.3834085046553366e-09,8.64223923788025e-06,0.5797182510306804,Sst,16
61328,F,Fgd4-205_ENSMUST00000161624,5.982849928768583e-09,2.1693813841714883e-05,0.4201408154465476,Sst,16
62481,F,Zbtb20-213_ENSMUST00000139491,2.5044277540405033e-30,9.081055036150865e-27,0.7899607969886037,Sst,16
64984,F,Gm11131-201_ENSMUST00000113886,1.658439902881732e-12,6.01350308784916e-09,0.37557702193326575,Sst,17
65448,F,Tomm6-201_ENSMUST00000113301,1.8420313636085214e-07,0.0006679205724444498,0.6087620620077994,Sst,17
66975,F,Rps14-205_ENSMUST00000137400,4.1733878811198766e-07,0.0015132704456940673,1.1045057539815177,Sst,18
67928,F,Prdx5-203_ENSMUST00000149261,3.297262888519923e-08,0.00011955875233773239,0.7664405479707295,Sst,19
68130,F,Tmem258-204_ENSMUST00000166412,4.1439977830521995e-07,0.0015026135961347276,0.3594290840726888,Sst,19
71281,M,Kif1a-210_ENSMUST00000190723,2.2802429110834117e-14,6.815646061228317e-11,0.838610903593584,Sst,1
71286,M,Kif1a-206_ENSMUST00000186861,6.5840955039246604e-09,1.967986146123081e-05,1.0735604824565907,Sst,1
83311,M,Sv2a-201_ENSMUST00000035371,2.4663539515303986e-07,0.0007371931961124361,0.4820135603629683,Sst,3
88284,M,Efhd2-201_ENSMUST00000036854,1.323519143488165e-06,0.003955998719886125,0.9572075898921484,Sst,4
98046,M,Calm3-201_ENSMUST00000019514,4.680731030667457e-07,0.0013990705050665028,0.2522642768673524,Sst,7
105784,M,Syt1-206_ENSMUST00000156979,1.5487700538245493e-06,0.004629273690881578,0.9204612892949138,Sst,10
108332,M,Scoc-203_ENSMUST00000212031,2.062402024434831e-16,6.164519651035711e-13,1.0069625651048182,Sst,8
116861,M,Lars2-209_ENSMUST00000217116,1.9093313283266132e-07,0.0005706991340368246,0.4246041400412297,Sst,9
118495,M,Ubb-201_ENSMUST00000019649,2.0355621658433114e-06,0.006084295313705658,0.08109717612075507,Sst,11
120899,M,Mapt-201_ENSMUST00000100347,1.3088922390317881e-08,3.9122789024660145e-05,1.26400860490608,Sst,11
125861,M,Rtn1-203_ENSMUST00000137990,4.882758630020428e-07,0.0014594565545131058,0.7474735624462321,Sst,12
126977,M,Hsp90aa1-202_ENSMUST00000094361,7.052893156647192e-07,0.0021081097645218455,0.1966908297716321,Sst,12
126981,M,Hsp90aa1-206_ENSMUST00000145255,1.066358583292543e-06,0.003187345805461411,0.3345820593358413,Sst,12
133492,M,Pacsin1-204_ENSMUST00000114873,7.433905180513592e-08,0.00022219942584555125,1.2273658600470592,Sst,17
133498,M,Pacsin1-207_ENSMUST00000231350,2.2047242138492532e-07,0.0006589920675195418,1.1403635520758755,Sst,17
9800,F,Psma7-201_ENSMUST00000029082,8.078966412187971e-07,0.00124254503419451,5.819361502038005,VLMC,2
