,transcript_name,p_raw,p_bonferroni
GABAergic,"['Myl6-206_ENSMUST00000218127' 'Rsrp1-201_ENSMUST00000078084'
 'Gapdh-203_ENSMUST00000118875' 'Rplp2-201_ENSMUST00000084434'
 'Rtn1-203_ENSMUST00000137990' 'Rps19-205_ENSMUST00000129847'
 'Rplp2-203_ENSMUST00000106004' 'Morf4l1-202_ENSMUST00000169860'
 'Ubc-202_ENSMUST00000136312' 'Noct-202_ENSMUST00000144826'
 'Kmt2d-201_ENSMUST00000023741' 'Ssb-202_ENSMUST00000112260'
 'Pfn2-201_ENSMUST00000066882' 'Ndufa10-201_ENSMUST00000027478'
 'Ktn1-204_ENSMUST00000186466' 'Kmt2a-202_ENSMUST00000114689'
 'Actb-207_ENSMUST00000167721' 'Fndc4-202_ENSMUST00000172435'
 'Sumo3-202_ENSMUST00000099538' 'Kmt2d-202_ENSMUST00000178486'
 'Lsm7-201_ENSMUST00000035775' 'Manf-205_ENSMUST00000160978'
 'Rpp21-201_ENSMUST00000025319' 'Ywhaq-205_ENSMUST00000155480'
 'Cope-201_ENSMUST00000066469' 'Cycs-202_ENSMUST00000161401'
 'Mrpl13-202_ENSMUST00000164542']","[0.00000000e+00 2.18183665e-48 1.53249810e-42 1.93259038e-34
 2.71707593e-32 3.93419543e-20 4.79822290e-20 1.69319598e-18
 3.69305572e-18 4.08503062e-16 3.00323962e-14 2.04894553e-12
 2.75137119e-12 8.63220744e-12 1.47659845e-11 9.87537311e-11
 2.79938386e-10 8.76311011e-10 1.74522956e-09 2.00960028e-09
 5.48021991e-09 5.84770624e-09 7.05951017e-09 1.77270851e-08
 3.92802562e-08 1.69609826e-07 2.77613508e-07]","[0.00000000e+00 7.54610022e-44 5.30029792e-38 6.68405708e-30
 9.39727881e-28 1.36068083e-15 1.65951337e-15 5.85608762e-14
 1.27728025e-13 1.41284869e-11 1.03870046e-09 7.08648301e-08
 9.51589241e-08 2.98553527e-07 5.10696340e-07 3.41549654e-06
 9.68194903e-06 3.03080926e-05 6.03605097e-05 6.95040354e-05
 1.89538886e-04 2.02248768e-04 2.44160219e-04 6.13108965e-04
 1.35854694e-03 5.86612545e-03 9.60154079e-03]"
Glutamatergic,"['Caly-203_ENSMUST00000211044' 'Caly-202_ENSMUST00000166758'
 'H3f3b-204_ENSMUST00000139623' 'Meg3-203_ENSMUST00000128178'
 'Caly-205_ENSMUST00000211681' 'Srsf11-208_ENSMUST00000133090'
 'Oxr1-204_ENSMUST00000110297' 'Meg3-202_ENSMUST00000126289'
 'Hsp90aa1-201_ENSMUST00000021698' 'Cops9-204_ENSMUST00000148508'
 'Zbtb20-213_ENSMUST00000139491' 'Fkbp3-206_ENSMUST00000221608'
 'Caly-201_ENSMUST00000026541' 'Pja1-204_ENSMUST00000113797'
 'Haus8-203_ENSMUST00000123495' 'Atrx-202_ENSMUST00000113573'
 'Atp5j-204_ENSMUST00000127651' 'Mrpl41-202_ENSMUST00000194392'
 'Zc3h15-201_ENSMUST00000081591' 'Tmcc1-211_ENSMUST00000204574'
 'Rpl31-203_ENSMUST00000179954' 'Hook2-204_ENSMUST00000210326'
 'Meg3-201_ENSMUST00000124106' 'Eloc-208_ENSMUST00000188641'
 'Dcbld2-203_ENSMUST00000134324' 'Atp5d-203_ENSMUST00000105367'
 'Oaz1-204_ENSMUST00000179341' 'Ncor1-201_ENSMUST00000018645'
 'Prkar1a-203_ENSMUST00000106677' 'Ttc3-216_ENSMUST00000147046'
 'Ndufs4-201_ENSMUST00000022286' 'Naa16-201_ENSMUST00000022597'
 'Napg-201_ENSMUST00000025474' 'Celf4-202_ENSMUST00000115816'
 'Ppib-202_ENSMUST00000213785' 'Ssbp2-203_ENSMUST00000133984'
 'Rsrc2-208_ENSMUST00000182309' 'Zranb2-202_ENSMUST00000106057'
 'Lpl-202_ENSMUST00000101463' 'Rpl31-201_ENSMUST00000086535'
 'Ube3a-203_ENSMUST00000200758' 'Hsp90ab1-201_ENSMUST00000024739'
 'Rbfox1-201_ENSMUST00000056416' 'Hmgn3-202_ENSMUST00000162246'
 'Tmem191c-205_ENSMUST00000231517' 'Gtpbp4-201_ENSMUST00000021574'
 'Zfr-201_ENSMUST00000122941' 'Tma7-201_ENSMUST00000167504'
 'Sf3b1-201_ENSMUST00000027127' 'Agtpbp1-211_ENSMUST00000166276'
 'Polr2f-203_ENSMUST00000229973' 'Tmod3-204_ENSMUST00000214733'
 'Ndufv1-202_ENSMUST00000128787' 'Agtpbp1-201_ENSMUST00000022040'
 'Rufy2-202_ENSMUST00000119567' 'Ddx24-201_ENSMUST00000044923'
 'Meg3-207_ENSMUST00000143836' 'Prkar1b-202_ENSMUST00000110889'
 'Tmem191c-202_ENSMUST00000231322' 'Rufy3-202_ENSMUST00000196686'
 'Srsf11-202_ENSMUST00000072875' 'Arcn1-201_ENSMUST00000034607'
 'Ctbp1-201_ENSMUST00000079746' 'Ndufb8-205_ENSMUST00000168083'
 'Pnisr-202_ENSMUST00000098238' 'Rbm39-203_ENSMUST00000109587'
 'Rpn2-211_ENSMUST00000156007' 'Rab14-201_ENSMUST00000028238'
 'Rps3-202_ENSMUST00000107096' 'Rplp0-204_ENSMUST00000156359'
 'Psip1-203_ENSMUST00000107215' 'Ewsr1-203_ENSMUST00000079949'
 'Naa38-201_ENSMUST00000082283' 'Calm3-204_ENSMUST00000173557'
 'Rpl35a-205_ENSMUST00000115079' 'Ube3a-205_ENSMUST00000200949'
 'Rps3-205_ENSMUST00000208532' 'Kif21a-204_ENSMUST00000109287'
 'Gabbr1-203_ENSMUST00000172792' 'Ccdc88a-201_ENSMUST00000040182'
 'Hexdc-205_ENSMUST00000124925' 'Ash1l-201_ENSMUST00000090933'
 'Psmb10-203_ENSMUST00000212332' 'Psmb1-204_ENSMUST00000232500'
 'Emc10-202_ENSMUST00000118808' 'Arglu1-201_ENSMUST00000048545'
 'Psmb4-202_ENSMUST00000133412' 'Fkbp8-202_ENSMUST00000119353'
 'Ppig-201_ENSMUST00000040915' 'Kif1b-203_ENSMUST00000060537'
 'Mapre3-201_ENSMUST00000031058' 'Ncor1-212_ENSMUST00000155486'
 'Fam168a-201_ENSMUST00000049053' 'Oxct1-201_ENSMUST00000110690'
 'Psmb10-201_ENSMUST00000034369' 'Rpl15-203_ENSMUST00000100799'
 'Gtpbp4-204_ENSMUST00000222098' 'Ssbp2-202_ENSMUST00000042122'
 'Gpx4-207_ENSMUST00000183037' 'Rab28-201_ENSMUST00000031011'
 'Ewsr1-202_ENSMUST00000073308' 'Ripor2-209_ENSMUST00000175986'
 'Eif5-202_ENSMUST00000166123' 'Ift20-203_ENSMUST00000128788'
 'Clk1-210_ENSMUST00000148330' 'Mrpl58-207_ENSMUST00000134386'
 'Tnrc6b-204_ENSMUST00000226857' 'Hnrnpc-209_ENSMUST00000228198'
 'Hnrnpc-201_ENSMUST00000111610' 'Bex3-202_ENSMUST00000113112'
 'Trpm2-207_ENSMUST00000153842' 'Psmd4-201_ENSMUST00000071664'
 'Rbm25-201_ENSMUST00000048155' 'Cdc123-201_ENSMUST00000043864'
 'Nucks1-201_ENSMUST00000062264' 'Srsf5-202_ENSMUST00000110351'
 'Dync1i2-208_ENSMUST00000112144' 'Pfdn5-204_ENSMUST00000165717'
 'Erh-202_ENSMUST00000166931' 'Rpl7-205_ENSMUST00000149566'
 'Slc22a17-204_ENSMUST00000226690' '1700020I14Rik-202_ENSMUST00000153581'
 'Tmem191c-201_ENSMUST00000164950' 'Ggnbp2-213_ENSMUST00000172405'
 'Eny2-201_ENSMUST00000060652' 'Rbm34-201_ENSMUST00000045994'
 'Rpl13a-201_ENSMUST00000150350' 'Cfap36-201_ENSMUST00000020754'
 'Fam133b-205_ENSMUST00000197082' 'Ndufv1-207_ENSMUST00000134479'
 'Echs1-206_ENSMUST00000211120' 'Grin1-205_ENSMUST00000114312'
 'Cct8-203_ENSMUST00000175977' 'Akap11-202_ENSMUST00000123853'
 'Ttll7-201_ENSMUST00000037942' 'Timm13-201_ENSMUST00000020440'
 'Senp7-211_ENSMUST00000202000' 'Sez6l2-207_ENSMUST00000155138'
 'Ss18l2-201_ENSMUST00000035113' 'Ube2m-205_ENSMUST00000131837'
 'Rrm1-204_ENSMUST00000210751' 'Mrpl38-201_ENSMUST00000106439'
 'Itm2b-202_ENSMUST00000226722' 'Hspa4l-208_ENSMUST00000204702'
 'Ndufaf3-204_ENSMUST00000194666' 'Tmco1-203_ENSMUST00000193446'
 'Nek4-208_ENSMUST00000228392' 'Gabbr1-202_ENSMUST00000172789'
 'Wdfy3-201_ENSMUST00000053177' 'Hnrnpab-201_ENSMUST00000074669'
 'Hmgn3-201_ENSMUST00000161796' 'Ccnt1-202_ENSMUST00000130921'
 'Pfdn5-202_ENSMUST00000062492' 'Pigb-204_ENSMUST00000183746'
 'Ctcf-201_ENSMUST00000005841' 'Ubn2-205_ENSMUST00000160583'
 'Fuom-201_ENSMUST00000026539' 'Nemf-212_ENSMUST00000222763'
 'Ciapin1-210_ENSMUST00000162589' 'Ccdc127-201_ENSMUST00000022063'
 'Mrpl55-201_ENSMUST00000045697' 'Ppdpf-202_ENSMUST00000108841'
 'Ilf2-202_ENSMUST00000196769' 'Gsk3a-201_ENSMUST00000071739'
 'Sys1-201_ENSMUST00000072452' 'AI413582-208_ENSMUST00000232203'
 'Rps10-208_ENSMUST00000178774' 'Cdc123-202_ENSMUST00000124287'
 'Ndufa9-201_ENSMUST00000088194' 'Pfdn4-204_ENSMUST00000109148'
 'Sf3b1-203_ENSMUST00000187500' 'Pja1-202_ENSMUST00000113790'
 'Eif5-207_ENSMUST00000221292' 'Rab5b-201_ENSMUST00000000727'
 'Mrpl51-203_ENSMUST00000144380' 'Eif4g2-206_ENSMUST00000161051'
 'Rgs2-202_ENSMUST00000127206' 'Zmynd8-219_ENSMUST00000153655'
 'Polr2i-201_ENSMUST00000019882' 'Rps10-201_ENSMUST00000025052'
 'Sez6l2-203_ENSMUST00000106335' 'Eny2-204_ENSMUST00000226827'
 'Cox16-202_ENSMUST00000110340' 'Eif4g2-213_ENSMUST00000162415'
 'Tmem242-201_ENSMUST00000005053' 'Cops7a-201_ENSMUST00000032220'
 'Ndufs4-206_ENSMUST00000232101' 'Ptp4a2-207_ENSMUST00000165853'
 'Gnas-221_ENSMUST00000156623' 'Rpl15-202_ENSMUST00000080281'
 'Hectd4-201_ENSMUST00000042614' 'Tatdn1-205_ENSMUST00000226835'
 'Azi2-201_ENSMUST00000044454' 'Ndufaf3-203_ENSMUST00000194381'
 'Celf4-207_ENSMUST00000225477' 'Os9-201_ENSMUST00000080975'
 'Gria4-203_ENSMUST00000163309' 'Rufy3-207_ENSMUST00000199312'
 'Eef1g-201_ENSMUST00000052248' 'Rpl35-203_ENSMUST00000152441'
 'Mrps26-202_ENSMUST00000145614' 'Nisch-213_ENSMUST00000168206'
 'Minos1-204_ENSMUST00000154642' 'Cbarp-214_ENSMUST00000169546'
 'Kmt2e-207_ENSMUST00000196889' 'Prr13-201_ENSMUST00000023810'
 'Snrpn-201_ENSMUST00000059305' 'Adgra1-201_ENSMUST00000026548'
 '1700037H04Rik-201_ENSMUST00000028800' 'Rnf10-202_ENSMUST00000112096'
 'Aplp2-201_ENSMUST00000072634' 'Rbm25-204_ENSMUST00000182032'
 'Polr2k-202_ENSMUST00000180159' 'Naa38-204_ENSMUST00000144531'
 'Kras-201_ENSMUST00000032399' 'Ssbp2-210_ENSMUST00000231481'
 'Kif3a-203_ENSMUST00000120613' 'Pex13-201_ENSMUST00000020523'
 'Ap3d1-201_ENSMUST00000020420' 'Tmem258-204_ENSMUST00000166412'
 'Ube2q2-201_ENSMUST00000059555' 'Ncam1-204_ENSMUST00000193547'
 'Tulp3-206_ENSMUST00000203625' 'Enpp5-201_ENSMUST00000024756'
 'Gabbr1-209_ENSMUST00000174456' 'Fus-204_ENSMUST00000121616'
 'Ttc33-203_ENSMUST00000118193' 'Fut8-206_ENSMUST00000219289'
 'Pcyt2-201_ENSMUST00000026129' 'Rrp1-201_ENSMUST00000062678'
 'Srsf5-212_ENSMUST00000153056' 'Psmd11-205_ENSMUST00000148895'
 'Adrm1-201_ENSMUST00000061437' 'Chpt1-203_ENSMUST00000117440'
 'Eif3c-201_ENSMUST00000032992' 'Ncl-201_ENSMUST00000027438'
 'Ncl-202_ENSMUST00000185676' 'Hnrnpa3-204_ENSMUST00000111964'
 'C130073E24Rik-202_ENSMUST00000211313' 'Rps20-201_ENSMUST00000103009'
 'Rnf14-201_ENSMUST00000072376' 'Ube2e3-201_ENSMUST00000028398'
 'Anapc11-202_ENSMUST00000093140' 'Xpo7-202_ENSMUST00000167242'
 'Eef1akmt2-201_ENSMUST00000033257' 'Ilf2-201_ENSMUST00000001042'
 'Mrpl15-201_ENSMUST00000045689' 'Polr2k-201_ENSMUST00000057177'
 'Nsrp1-201_ENSMUST00000102494' 'Gdap1l1-203_ENSMUST00000109421'
 'Syn2-206_ENSMUST00000204617' 'Mrpl58-208_ENSMUST00000135619'
 'U2af1l4-201_ENSMUST00000043273' 'Romo1-203_ENSMUST00000109598'
 'Rps15a-201_ENSMUST00000106588' 'Thy1-201_ENSMUST00000114840'
 'Glod4-201_ENSMUST00000017430' 'App-206_ENSMUST00000227723'
 'Sfpq-201_ENSMUST00000030623' 'Hnrnpab-203_ENSMUST00000109103'
 'Prkar1b-201_ENSMUST00000026973' 'Snx30-201_ENSMUST00000030080'
 'Ap2b1-201_ENSMUST00000018875' 'Rpl31-202_ENSMUST00000178079'
 'Srek1ip1-201_ENSMUST00000022230' 'Ank3-231_ENSMUST00000182884'
 'Tmod3-205_ENSMUST00000215821' '2210016L21Rik-201_ENSMUST00000031538'
 'Cadm4-201_ENSMUST00000068023' 'Rabl2-201_ENSMUST00000023294'
 'Wdr82-201_ENSMUST00000020490' 'Mir124a-1hg-201_ENSMUST00000180610'
 'Cops6-201_ENSMUST00000019638' 'Rab7-205_ENSMUST00000113600'
 'Pfdn5-201_ENSMUST00000001335' 'Mon1b-201_ENSMUST00000035777'
 'Ubxn1-201_ENSMUST00000096255' 'Vps28-204_ENSMUST00000229261'
 'Zcrb1-201_ENSMUST00000076070' 'Gtf2a2-204_ENSMUST00000119905'
 'Selenok-203_ENSMUST00000223998' 'Sparcl1-201_ENSMUST00000031249'
 'Glrx-201_ENSMUST00000022082' 'Rbbp4-201_ENSMUST00000102598'
 'Ap4s1-201_ENSMUST00000021338']","[0.00000000e+000 0.00000000e+000 0.00000000e+000 8.81191499e-183
 6.64834447e-154 8.08006762e-140 4.74341429e-125 6.86737727e-124
 2.48859464e-122 3.26243800e-115 3.22988522e-104 1.59521164e-102
 1.43510960e-100 3.08321395e-100 3.43260213e-095 1.05029433e-089
 2.19763668e-084 5.35872863e-082 3.18127787e-078 2.90328311e-076
 1.34122429e-075 3.81660534e-075 2.62243386e-074 1.60754411e-071
 2.39465141e-068 2.93026406e-061 1.89890132e-060 2.00947560e-060
 6.11621749e-060 7.83718708e-058 5.86924369e-057 1.43984585e-056
 1.19731016e-055 7.99251040e-055 2.79462050e-054 1.34149221e-053
 6.66253110e-053 6.90553255e-053 8.58258559e-052 9.82059818e-051
 3.75876932e-050 6.49114876e-050 4.76487633e-049 5.34587897e-047
 5.56906816e-047 1.22484859e-045 2.13612379e-045 3.83710703e-045
 4.71211991e-044 4.55937623e-043 6.18896002e-043 3.55323981e-042
 1.02213520e-041 1.08248578e-041 2.75942726e-039 4.23245128e-039
 4.65749218e-039 1.10965516e-038 2.18645519e-038 3.48692651e-038
 4.74392796e-038 6.37937331e-038 8.66699230e-038 8.20958827e-037
 2.26886479e-036 3.34500596e-035 2.20951497e-034 2.68818603e-033
 2.90058909e-033 7.83435617e-033 2.89806353e-032 3.21514590e-032
 3.96875806e-032 5.96234608e-031 1.19232099e-030 6.60845620e-030
 7.47481906e-030 1.09405921e-029 2.19677583e-029 1.17079873e-028
 1.22577459e-028 1.88485324e-028 3.13991243e-028 1.18719504e-027
 3.86949642e-027 4.13300158e-027 5.33442313e-027 8.13456642e-027
 1.04913148e-026 1.15374553e-026 3.18016890e-026 5.59187520e-026
 5.59337042e-026 1.02506743e-025 1.21231201e-025 1.61225933e-025
 2.12707338e-025 2.37038080e-025 2.60108993e-025 5.28502103e-025
 9.16556142e-025 1.05774857e-024 2.79130455e-024 3.47384575e-024
 4.60764955e-024 7.42261527e-024 1.29241956e-023 2.43104479e-023
 4.92760201e-023 6.44237435e-023 1.17841541e-022 2.84974661e-022
 2.86354755e-022 3.19318762e-022 2.28004256e-021 2.30826208e-021
 2.40701041e-021 2.87452646e-021 2.91321637e-021 5.26808230e-021
 8.44438916e-021 9.08039403e-021 1.36260732e-020 1.41519589e-020
 1.67109667e-020 1.70665284e-020 3.91725263e-020 4.54899895e-020
 4.99402874e-020 5.52929573e-020 7.33376810e-020 1.67254818e-019
 3.09338012e-019 4.08119846e-019 5.46661115e-019 7.48267525e-019
 8.82109411e-019 9.02529633e-019 1.19228341e-018 1.46109976e-018
 1.99179594e-018 3.90758321e-018 5.30706635e-018 7.00074657e-018
 1.39917622e-017 1.64688289e-017 2.12081831e-017 4.40483601e-017
 9.83249513e-017 1.03340821e-016 1.40237385e-016 1.61944076e-016
 1.68925664e-016 2.50514840e-016 5.42225491e-016 7.23066496e-016
 1.80086997e-015 2.08941832e-015 2.24610807e-015 2.52277328e-015
 5.87521606e-015 7.97047705e-015 8.09079828e-015 8.91881894e-015
 8.98519032e-015 1.34485113e-014 1.60713415e-014 1.79731394e-014
 2.58895842e-014 3.92282391e-014 4.62469534e-014 6.91016294e-014
 7.24029539e-014 7.51014847e-014 8.63713875e-014 9.83859554e-014
 1.08828757e-013 1.09116538e-013 1.14496766e-013 1.40670868e-013
 2.00552498e-013 4.74347454e-013 6.26041094e-013 6.40231975e-013
 8.83336053e-013 1.33704719e-012 1.71822867e-012 1.96442135e-012
 2.19368185e-012 2.66040078e-012 4.22279005e-012 4.36947717e-012
 6.07598931e-012 1.40529493e-011 1.51829756e-011 1.81684516e-011
 2.18992483e-011 2.26346814e-011 2.34378100e-011 2.98437390e-011
 3.14443244e-011 3.37070187e-011 4.16779053e-011 4.60719928e-011
 4.62326714e-011 5.07332113e-011 7.04590831e-011 9.63628282e-011
 1.17808580e-010 1.27974193e-010 1.29255429e-010 1.33740678e-010
 1.41750314e-010 1.43110470e-010 1.45138566e-010 1.77973842e-010
 1.94388735e-010 2.02784604e-010 2.14951032e-010 2.23804479e-010
 2.80207839e-010 2.80538351e-010 3.13474627e-010 3.51200713e-010
 3.89089072e-010 4.38905024e-010 5.04645114e-010 8.83305343e-010
 9.59736621e-010 1.04933175e-009 1.14477221e-009 1.23900603e-009
 1.24118199e-009 1.36625337e-009 1.38691394e-009 1.39441923e-009
 1.44583466e-009 1.72215342e-009 1.81056047e-009 1.87849564e-009
 1.88621209e-009 2.09620066e-009 2.58875882e-009 3.15277420e-009
 3.17534260e-009 6.01242227e-009 6.17691172e-009 7.50889168e-009
 7.96155535e-009 7.97677011e-009 8.90443731e-009 1.64107690e-008
 1.77155091e-008 1.89699009e-008 1.92002410e-008 1.93187948e-008
 2.33213945e-008 2.87129259e-008 3.06343029e-008 3.33942703e-008
 3.48475211e-008 4.37103895e-008 4.60330208e-008 4.92729750e-008
 5.12101974e-008 5.89440443e-008 6.13722968e-008 6.70960382e-008
 7.19151348e-008 7.30465671e-008 7.62260254e-008 7.81827159e-008
 8.17768505e-008 8.26369073e-008 9.10911035e-008 1.02510608e-007
 1.11669252e-007 1.22043959e-007 1.23953557e-007 1.30594112e-007
 1.50656350e-007 1.50828388e-007 1.65427002e-007 1.87900785e-007
 2.71323161e-007]","[0.00000000e+000 0.00000000e+000 0.00000000e+000 3.04768892e-178
 2.29939642e-149 2.79457219e-135 1.64055726e-120 2.37515110e-119
 8.60705342e-118 1.12834681e-110 1.11708810e-099 5.51719898e-098
 4.96347006e-096 1.06636038e-095 1.18719977e-090 3.63254795e-085
 7.60074622e-080 1.85336988e-077 1.10027676e-073 1.00412950e-071
 4.63875833e-071 1.32001112e-070 9.06994976e-070 5.55985208e-067
 8.28214135e-064 1.01346113e-056 6.56754010e-056 6.94997233e-056
 2.11535498e-055 2.71056952e-053 2.02993662e-052 4.97985085e-052
 4.14101692e-051 2.76428965e-050 9.66547446e-050 4.63968495e-049
 2.30430301e-048 2.38834749e-048 2.96837305e-047 3.39655209e-046
 1.30000796e-045 2.24502871e-045 1.64798013e-044 1.84892570e-042
 1.92611791e-042 4.23626132e-041 7.38799773e-041 1.32710184e-040
 1.62973379e-039 1.57690586e-038 2.14051371e-038 1.22892352e-037
 3.53515680e-037 3.74388532e-037 9.54375512e-035 1.46383560e-034
 1.61084025e-034 3.83785332e-034 7.56207391e-034 1.20598840e-033
 1.64073493e-033 2.20637005e-033 2.99756596e-033 2.83936820e-032
 7.84709576e-032 1.15690376e-030 7.64182848e-030 9.29736019e-029
 1.00319774e-028 2.70959042e-028 1.00232425e-027 1.11199036e-027
 1.37263466e-027 2.06213701e-026 4.12376137e-026 2.28560066e-025
 2.58524092e-025 3.78391319e-025 7.59776889e-025 4.04932449e-024
 4.23946401e-024 6.51895342e-024 1.08597011e-023 4.10603277e-023
 1.33830403e-022 1.42943992e-022 1.84496359e-022 2.81342114e-022
 3.62852613e-022 3.99034429e-022 1.09989322e-021 1.93400596e-021
 1.93452309e-021 3.54529820e-021 4.19290232e-021 5.57616013e-021
 7.35669598e-021 8.19819905e-021 8.99612963e-021 1.82787737e-020
 3.17000107e-020 3.65832921e-020 9.65400591e-020 1.20146429e-019
 1.59360167e-019 2.56718572e-019 4.46996227e-019 8.40801151e-019
 1.70426043e-018 2.22815959e-018 4.07566754e-018 9.85613361e-018
 9.90386555e-018 1.10439587e-017 7.88575521e-017 7.98335524e-017
 8.32488621e-017 9.94183720e-017 1.00756501e-016 1.82201894e-016
 2.92057644e-016 3.14054508e-016 4.71271367e-016 4.89459650e-016
 5.77965493e-016 5.90262951e-016 1.35482099e-015 1.57331678e-015
 1.72723478e-015 1.91236222e-015 2.53645704e-015 5.78467515e-015
 1.06987645e-014 1.41152330e-014 1.89068213e-014 2.58795806e-014
 3.05086361e-014 3.12148899e-014 4.12363139e-014 5.05335965e-014
 6.88882545e-014 1.35147673e-013 1.83550197e-013 2.42127821e-013
 4.83919087e-013 5.69590918e-013 7.33506219e-013 1.52345658e-012
 3.40066677e-012 3.57414562e-012 4.85025020e-012 5.60099782e-012
 5.84246303e-012 8.66430626e-012 1.87534108e-011 2.50079778e-011
 6.22848887e-011 7.22646221e-011 7.76838939e-011 8.72526368e-011
 2.03200222e-010 2.75666919e-010 2.79828349e-010 3.08466272e-010
 3.10761792e-010 4.65130213e-010 5.55843416e-010 6.21618999e-010
 8.95417159e-010 1.35674788e-009 1.59949713e-009 2.38994895e-009
 2.50412856e-009 2.59745995e-009 2.98724081e-009 3.40277665e-009
 3.76395138e-009 3.77390457e-009 3.95998515e-009 4.86524264e-009
 6.93630870e-009 1.64057810e-008 2.16522573e-008 2.21430631e-008
 3.05510607e-008 4.62431140e-008 5.94266569e-008 6.79414769e-008
 7.58706805e-008 9.20126213e-008 1.46049417e-007 1.51122738e-007
 2.10144166e-007 4.86035305e-007 5.25118393e-007 6.28374065e-007
 7.57407403e-007 7.82843091e-007 8.10620097e-007 1.03217556e-006
 1.08753341e-006 1.16579095e-006 1.44147203e-006 1.59344594e-006
 1.59900317e-006 1.75465885e-006 2.43689785e-006 3.33280478e-006
 4.07452755e-006 4.42611544e-006 4.47042827e-006 4.62555510e-006
 4.90257636e-006 4.94961873e-006 5.01976245e-006 6.15540330e-006
 6.72312879e-006 7.01350833e-006 7.43429639e-006 7.74050172e-006
 9.69126832e-006 9.70269941e-006 1.08418335e-005 1.21466279e-005
 1.34570347e-005 1.51799691e-005 1.74536559e-005 3.05499986e-005
 3.31934508e-005 3.62921879e-005 3.95930917e-005 4.28522625e-005
 4.29275204e-005 4.72532389e-005 4.79678056e-005 4.82273833e-005
 5.00056375e-005 5.95623982e-005 6.26200443e-005 6.49696503e-005
 6.52365315e-005 7.24991961e-005 8.95348124e-005 1.09041848e-004
 1.09822399e-004 2.07945637e-004 2.13634669e-004 2.59702528e-004
 2.75358353e-004 2.75884571e-004 3.07968869e-004 5.67582855e-004
 6.12708596e-004 6.56092992e-004 6.64059536e-004 6.68159836e-004
 8.06593750e-004 9.93065254e-004 1.05951800e-003 1.15497423e-003
 1.20523637e-003 1.51176753e-003 1.59209806e-003 1.70415511e-003
 1.77115589e-003 2.03863872e-003 2.12262226e-003 2.32058358e-003
 2.48725685e-003 2.52638857e-003 2.63635331e-003 2.70402741e-003
 2.82833415e-003 2.85808008e-003 3.15047690e-003 3.54543189e-003
 3.86219276e-003 4.22101235e-003 4.28705772e-003 4.51672795e-003
 5.21060053e-003 5.21655064e-003 5.72145831e-003 6.49873655e-003
 9.38398286e-003]"
