,index,gene_name,p_raw,p_bonferroni,mean_log1p,mean_norm
0,Astrocytes,Aqp4,0.0,0.0,4.221100933878822,10383.038045904459
1,Astrocytes,Cxcl14,0.0,0.0,5.064551808738222,10335.14986566918
2,Astrocytes,Daam2,0.0,0.0,4.587044620425552,12779.296338422435
3,Astrocytes,Pou3f3,0.0,0.0,8.140773456901536,22706.056324804278
4,Astrocytes,Timp3,0.0,0.0,4.9112716828925125,14354.259676097734
5,Endothelial,Cldn5,0.0,0.0,2.1967023361342264,20923.847420070026
6,Endothelial,Flt1,0.0,0.0,2.6858181500260705,22322.913686155327
7,Endothelial,Ptprm,0.0,0.0,5.3752787836577225,12255.85593864789
8,Endothelial,Calb1,8.951229453535627e-62,1.1368061405990247e-59,6.653187229685868,1952.531619160088
9,Endothelial,Vip,7.962631458476903e-06,0.0010112541952265667,7.769146904840319,2975.5534469317986
10,Ependymal,Igf2,1.1034073872148323e-54,1.401327381762837e-52,1.18224633340107,4552.719962674953
11,Ependymal,Fam84b,1.2188585818917105e-46,1.5479503990024722e-44,2.1643901925379967,1924.9366708674268
12,Ependymal,Sulf1,5.491680126482188e-45,6.974433760632379e-43,1.8825698369014887,1702.4046362195077
13,Ependymal,Timp3,1.012176553789505e-43,1.2854642233126713e-41,4.9112716828925125,14354.259676097734
14,Ependymal,Crhr2,1.0839614607638847e-38,1.3766310551701336e-36,0.33109322942007957,142.12369640928512
15,Ependymal,Cobll1,1.2097761671735279e-37,1.5364157323103805e-35,2.4744954600605777,5419.791614723864
16,Ependymal,Phactr2,1.2105248155541466e-36,1.5373665157537662e-34,3.942711650880098,3759.341090373747
17,Ependymal,Myh14,1.5216427040105837e-31,1.9324862340934413e-29,3.5235636034611786,5351.315181113274
18,Ependymal,Wipf3,4.2778520499724876e-27,5.4328721034650595e-25,7.091402494733177,28773.638538092193
19,Ependymal,Nr2f2,1.8389319688955017e-21,2.335443600497287e-19,1.627836153771201,2354.9629339800695
20,Ependymal,Plekhg3,7.141931057100358e-17,9.070252442517454e-15,2.091532627247618,7228.680350131753
21,Ependymal,Iqgap2,7.439580886449759e-17,9.448267725791195e-15,4.2216671950592195,5480.160910286402
22,Ependymal,Pdgfra,3.9857910814523243e-16,5.061954673444452e-14,2.1424784222165596,4346.113173226379
23,Ependymal,Pdlim5,2.4924524496102554e-15,3.1654146110050246e-13,2.8000212287663713,3559.847048116875
24,Ependymal,Rnf152,1.1979675847794646e-14,1.52141883266992e-12,3.0201321710647444,4481.021480142607
25,Ependymal,Tac2,2.9835660490884454e-13,3.789128882342326e-11,6.684355474796022,1421.6704737200985
26,Ependymal,Lamp5,1.6128804385290966e-12,2.0483581569319527e-10,5.098040867988953,2440.896210148816
27,Ependymal,Ptprk,3.840322429683344e-11,4.877209485697846e-09,5.910188869560698,11589.004628684517
28,Ependymal,Rfx3,4.289206070576496e-10,5.4472917096321494e-08,3.6277916202664904,2731.998955973723
29,Ependymal,Pvalb,3.3376094338486114e-09,4.2387639809877364e-07,6.756693069771963,1748.4185394562287
30,Ependymal,Penk,4.94204162890099e-08,6.276392868704258e-06,6.170282774826138,1135.986996490147
31,Ependymal,Camk2d,1.2999491879910598e-07,1.650935468748646e-05,5.749795158462924,11880.690225730581
32,L2/3_IT,C1ql3,0.0,0.0,4.851254089825852,11130.318106473964
33,L2/3_IT,Syndig1,0.0,0.0,5.54614907175225,9563.14195599889
34,L2/3_IT,Slc30a3,0.0,0.0,5.943245743965583,24946.69162543843
35,L2/3_IT,Slc17a7,0.0,0.0,9.454276672469922,21605.366464883777
36,L2/3_IT,Sertm1,0.0,0.0,3.4989529677008098,3841.752265182323
37,L2/3_IT,Satb2,0.0,0.0,6.536729156108682,23088.1897280012
38,L2/3_IT,Rgs6,0.0,0.0,6.249597821665058,12216.760958061705
39,L2/3_IT,Rab3b,0.0,0.0,7.582379701437063,2689.8519317664422
40,L2/3_IT,Ptprt,0.0,0.0,6.993373561602484,20665.325454992864
41,L2/3_IT,Ptprk,0.0,0.0,5.910188869560698,11589.004628684517
42,L2/3_IT,Prdm8,0.0,0.0,4.000752989991377,5700.977958402151
43,L2/3_IT,Pou3f3,0.0,0.0,8.140773456901536,22706.056324804278
44,L2/3_IT,Penk,0.0,0.0,6.170282774826138,1135.986996490147
45,L2/3_IT,Meis2,0.0,0.0,4.811952403029983,7145.082299410478
46,L2/3_IT,Lamp5,0.0,0.0,5.098040867988953,2440.896210148816
47,L2/3_IT,Igfbp5,0.0,0.0,7.364940309429239,24251.72331341935
48,L2/3_IT,Dscaml1,0.0,0.0,4.996016097354123,8055.4340551160585
49,L2/3_IT,Cux2,0.0,0.0,4.833969516602062,13844.015772787347
50,L2/3_IT,Calb1,0.0,0.0,6.653187229685868,1952.531619160088
51,L2/3_IT,Unc5d,0.0,0.0,4.232193978158815,6891.727999122967
52,L2/3_IT,Wipf3,0.0,0.0,7.091402494733177,28773.638538092193
53,L2/3_IT,Gad2,1.2682167407323878e-189,1.6106352607301326e-187,8.11323845882878,4278.066672777633
54,L4/5_IT,Cdh12,0.0,0.0,4.881120457428094,7926.813962540711
55,L4/5_IT,Unc5d,0.0,0.0,4.232193978158815,6891.727999122967
56,L4/5_IT,Syndig1,0.0,0.0,5.54614907175225,9563.14195599889
57,L4/5_IT,Slc30a3,0.0,0.0,5.943245743965583,24946.69162543843
58,L4/5_IT,Slc17a7,0.0,0.0,9.454276672469922,21605.366464883777
59,L4/5_IT,Satb2,0.0,0.0,6.536729156108682,23088.1897280012
