,index,name,p_raw,p_corr,es
81478,Glutamatergic,Nsd1-201_ENSMUST00000099490,2.670797965591529e-33,1.315635077850387e-29,0.2758864420986178
120202,Glutamatergic,Tnrc6b-204_ENSMUST00000226857,1.2924195553709988e-23,6.36645872975754e-20,0.2764585154920707
127221,Glutamatergic,Myt1l-208_ENSMUST00000219463,2.261788944658357e-10,1.1141572341387067e-06,0.2772070679606915
122347,Glutamatergic,B4galt3-204_ENSMUST00000125939,6.405055743260525e-28,3.1551304591301346e-24,0.27854607833653566
112723,Glutamatergic,Nipal2-204_ENSMUST00000227336,2.9370310228026043e-41,1.4467814818325629e-37,0.279732579352308
73888,Glutamatergic,Emc10-202_ENSMUST00000118808,3.869496417991413e-27,1.90611393550257e-23,0.28155649324944676
114838,Glutamatergic,Zbtb38-212_ENSMUST00000152594,4.988739191760573e-30,2.4574529258612583e-26,0.2823721933172749
89640,Glutamatergic,Sf3b1-203_ENSMUST00000187500,4.6246953430047767e-14,2.278124925964153e-10,0.2830562481283674
125588,Glutamatergic,Tmod3-204_ENSMUST00000214733,3.553239811944202e-42,1.7503259313637138e-38,0.2831432230243355
81740,Glutamatergic,Glrx-201_ENSMUST00000022082,1.6542700240365834e-07,0.0008148934138404209,0.283569552750885
125791,Glutamatergic,Hnrnpa3-204_ENSMUST00000111964,1.7221534218734473e-09,8.483327756148602e-06,0.2840729138684117
74573,Glutamatergic,Rbm25-201_ENSMUST00000048155,2.86354754866389e-22,1.4105835224718322e-18,0.2850353958036411
85359,Glutamatergic,Prr13-201_ENSMUST00000023810,5.0733211302149524e-11,2.4991179887438857e-07,0.2853799829897121
6028,GABAergic,Camta1-207_ENSMUST00000140030,2.8974438687131105e-20,6.794505872132244e-17,0.2857192138078948
11829,GABAergic,Meg3-206_ENSMUST00000143272,3.014808215099933e-20,7.069725264409343e-17,0.28597925505270183
104672,Glutamatergic,Srek1-201_ENSMUST00000074616,1.4345720639238074e-13,7.066701986888675e-10,0.28641513181450806
75985,Glutamatergic,Ppdpf-202_ENSMUST00000108841,7.970477053183195e-15,3.926256996398042e-11,0.2885686744677822
114880,Glutamatergic,Os9-201_ENSMUST00000080975,1.816845155454441e-11,8.949779235768577e-08,0.28873185904685617
128476,Glutamatergic,Aurkaip1-201_ENSMUST00000084097,1.0871731113442153e-21,5.355414746481604e-18,0.29064761624637736
72864,Glutamatergic,Ctcf-201_ENSMUST00000005841,5.422254914000019e-16,2.6710027706364092e-12,0.2924212235435939
98444,Glutamatergic,Cul1-201_ENSMUST00000031697,3.6528053629784075e-14,1.7993719218031636e-10,0.2947602307636368
97494,Glutamatergic,Sparcl1-201_ENSMUST00000031249,1.508283884475321e-07,0.0007429806414925431,0.29655558892032197
128652,Glutamatergic,Hmgn3-201_ENSMUST00000161796,1.4023738495511661e-16,6.908093582889045e-13,0.29839255501102224
81057,Glutamatergic,Eif5-207_ENSMUST00000221292,7.240295385666133e-14,3.5665695069791373e-10,0.2987269098306089
106493,Glutamatergic,Ogt-201_ENSMUST00000044475,4.147941416186063e-20,2.0432759416132549e-16,0.29918399988569133
106225,Glutamatergic,Rbm34-201_ENSMUST00000045994,1.7066528389534302e-20,8.406971884684597e-17,0.2995621050725916
125556,Glutamatergic,Fam133b-205_ENSMUST00000197082,4.994028735343977e-20,2.460058555030443e-16,0.3069873264608267
89399,Glutamatergic,Gria4-203_ENSMUST00000163309,2.1899248344141084e-11,1.0787569734323898e-07,0.30910780699495444
72404,Glutamatergic,Tmem242-201_ENSMUST00000005053,8.833360525454389e-13,4.351313394838832e-09,0.3118174517433858
78621,Glutamatergic,Sumo3-206_ENSMUST00000141228,1.6726267208051438e-16,8.239359226686139e-13,0.3136630939990024
