"","x"
"LS-15520_S39_E1-50",37
"LS-15520_S40_E1-50",37
"LS-15520_S41_E1-50",37
"LS-15520_S42_E1-50",45
"LS-15520_S43_E1-50",35
"LS-15520_S44_E1-50",37
"LS-15520_S45_E1-50",37
"LS-15520_S46_E1-50",37
"LS-15520_S48_E1-50",45
"LS-15520_S49_E1-50",37
"LS-15520_S50_E1-50",35
"LS-15520_S51_E1-50",35
"LS-15520_S52_E1-50",37
"LS-15521_S01_E1-50",37
"LS-15521_S02_E1-50",35
"LS-15521_S03_E1-50",35
"LS-15521_S04_E1-50",34
"LS-15521_S05_E1-50",44
"LS-15521_S06_E1-50",35
"LS-15521_S07_E1-50",37
"LS-15521_S08_E1-50",35
"LS-15521_S09_E1-50",34
"LS-15521_S10_E1-50",37
"LS-15521_S11_E1-50",37
"LS-15521_S12_E1-50",37
"LS-15521_S13_E1-50",38
"LS-15521_S14_E1-50",45
"LS-15521_S15_E1-50",37
"LS-15521_S16_E1-50",37
"LS-15521_S35_E1-50",35
"LS-15521_S36_E1-50",35
"LS-15521_S37_E1-50",37
"LS-15521_S38_E1-50",37
"LS-15521_S39_E1-50",37
"LS-15521_S41_E1-50",45
"LS-15521_S42_E1-50",34
"LS-15521_S43_E1-50",45
"LS-15521_S44_E1-50",37
"LS-15521_S45_E1-50",45
"LS-15521_S46_E1-50",37
"LS-15521_S47_E1-50",35
"LS-15521_S48_E1-50",35
"LS-15522_S01_E1-50",35
"LS-15522_S02_E1-50",37
"LS-15522_S03_E1-50",37
"LS-15522_S04_E1-50",38
"LS-15522_S06_E1-50",35
"LS-15522_S07_E1-50",38
"LS-15522_S08_E1-50",38
"LS-15522_S13_E1-50",37
"LS-15522_S14_E1-50",20
"LS-15522_S15_E1-50",35
"LS-15522_S49_E1-50",37
"LS-15522_S50_E1-50",35
"LS-15522_S51_E1-50",37
"LS-15522_S53_E1-50",45
"LS-15522_S54_E1-50",35
"LS-15522_S55_E1-50",35
"LS-15522_S56_E1-50",37
"LS-15522_S57_E1-50",45
"LS-15522_S58_E1-50",34
"LS-15522_S59_E1-50",23
"LS-15522_S60_E1-50",35
"LS-15522_S61_E1-50",35
"LS-15522_S62_E1-50",45
"LS-15522_S63_E1-50",45
"LS-15522_S64_E1-50",37
"LS-15524_S09_E1-50",34
"LS-15524_S10_E1-50",35
"LS-15524_S11_E1-50",37
"LS-15524_S12_E1-50",37
"LS-15524_S13_E1-50",35
"LS-15524_S14_E1-50",38
"LS-15524_S15_E1-50",35
"LS-15524_S16_E1-50",37
"LS-15524_S17_E1-50",37
"LS-15524_S18_E1-50",37
"LS-15524_S19_E1-50",37
"LS-15524_S20_E1-50",34
"LS-15524_S21_E1-50",19
"LS-15524_S22_E1-50",35
"LS-15524_S23_E1-50",34
"LS-15524_S24_E1-50",37
"LS-15524_S49_E1-50",35
"LS-15524_S50_E1-50",37
"LS-15524_S51_E1-50",44
"LS-15524_S52_E1-50",45
"LS-15524_S53_E1-50",37
"LS-15524_S54_E1-50",37
"LS-15524_S55_E1-50",37
"LS-15524_S56_E1-50",35
"LS-15524_S57_E1-50",37
"LS-15524_S58_E1-50",37
"LS-15524_S59_E1-50",37
"LS-15524_S60_E1-50",37
"LS-15524_S61_E1-50",35
"LS-15524_S62_E1-50",37
"LS-15524_S63_E1-50",37
"LS-15524_S64_E1-50",37
"LS-15524_S65_E1-50",37
"LS-15524_S66_E1-50",37
"LS-15524_S67_E1-50",37
"LS-15524_S68_E1-50",37
"LS-15524_S69_E1-50",34
"LS-15524_S70_E1-50",35
"LS-15524_S71_E1-50",37
"LS-15524_S72_E1-50",35
"LS-15524_S73_E1-50",35
"LS-15524_S74_E1-50",37
"LS-15524_S75_E1-50",37
"LS-15524_S76_E1-50",45
"LS-15524_S77_E1-50",37
"LS-15524_S78_E1-50",34
"LS-15524_S79_E1-50",37
"LS-15524_S80_E1-50",37
"LS-15524_S81_E1-50",37
"LS-15524_S82_E1-50",37
"LS-15524_S83_E1-50",45
"LS-15524_S84_E1-50",37
"LS-15524_S85_E1-50",45
"LS-15524_S86_E1-50",37
"LS-15524_S87_E1-50",37
"LS-15524_S88_E1-50",37
"LS-15525_S01_E1-50",32
"LS-15525_S02_E1-50",32
"LS-15525_S03_E1-50",32
"LS-15525_S04_E1-50",32
"LS-15525_S05_E1-50",32
"LS-15525_S06_E1-50",31
"LS-15526_S65_E1-50",38
"LS-15526_S66_E1-50",38
"LS-15526_S67_E1-50",37
"LS-15526_S69_E1-50",37
"LS-15526_S70_E1-50",35
"LS-15526_S71_E1-50",35
"LS-15526_S72_E1-50",37
"LS-15526_S73_E1-50",35
"LS-15526_S74_E1-50",36
"LS-15526_S75_E1-50",35
"LS-15526_S76_E1-50",35
"LS-15526_S77_E1-50",36
"LS-15526_S78_E1-50",36
"LS-15526_S79_E1-50",36
"LS-15526_S80_E1-50",45
"LS-15526_S81_E1-50",37
"LS-15526_S82_E1-50",36
"LS-15526_S83_E1-50",36
"LS-15526_S84_E1-50",38
"LS-15526_S85_E1-50",36
"LS-15526_S86_E1-50",38
"LS-15526_S87_E1-50",37
"LS-15526_S88_E1-50",33
"LS-15526_S89_E1-50",45
"LS-15526_S90_E1-50",37
"LS-15526_S91_E1-50",37
"LS-15526_S92_E1-50",36
"LS-15526_S93_E1-50",35
"LS-15526_S94_E1-50",35
"LS-15526_S95_E1-50",38
"LS-15526_S96_E1-50",38
"LS-15532_S01_E1-50",20
"LS-15532_S02_E1-50",35
"LS-15532_S03_E1-50",33
