,index,name,p_raw,p_corr,es,index_name
450666,L6b,Gpbp1-201_ENSMUST00000047627,1.3887252971799285e-06,0.007325525942624123,0.2603662008354233,L6b_Gpbp1
440950,L6b,Ptprd-205_ENSMUST00000107287,2.2344192597566484e-07,0.001178656159521632,0.26157719204167273,L6b_Ptprd
49789,L2/3 IT,Cox19-201_ENSMUST00000049630,2.4248750464152304e-14,1.5128795414584623e-10,0.26175360340984577,L2/3 IT_Cox19
38754,L2/3 IT,Nat14-201_ENSMUST00000047309,4.344079490568858e-07,0.0027102711941659106,0.2618937517230209,L2/3 IT_Nat14
301169,L6 IT,Ufm1-204_ENSMUST00000148338,1.2105161541160666e-07,0.000686604762614633,0.26195107943297424,L6 IT_Ufm1
62437,L2/3 IT,Ube2d3-212_ENSMUST00000197859,7.735666915023647e-08,0.00048262825882832534,0.262364653693572,L2/3 IT_Ube2d3
322963,L6 IT,Psme4-201_ENSMUST00000041231,1.2002455668966903e-06,0.006807792855438028,0.26301480239083785,L6 IT_Psme4
452913,L6b,Tmem5-201_ENSMUST00000038772,1.3301417161448226e-06,0.007016497552663939,0.26327657799537807,L6b_Tmem5
24274,L2/3 IT,Skil-204_ENSMUST00000118470,4.916741102194519e-07,0.0030675547736591607,0.26364785040943906,L2/3 IT_Skil
13325,L2/3 IT,Spcs1-204_ENSMUST00000226782,1.0149984449388403e-07,0.0006332575297973425,0.2638736026751425,L2/3 IT_Spcs1
421628,L6b,Cnih1-202_ENSMUST00000146629,2.462684394818179e-10,1.2990660182665896e-06,0.26499061542768265,L6b_Cnih1
432111,L6b,Lrpprc-201_ENSMUST00000112308,8.624160906562724e-07,0.004549244878211837,0.26505353672276444,L6b_Lrpprc
56384,L2/3 IT,Fam133b-205_ENSMUST00000197082,1.9482421873083122e-08,0.0001215508300661656,0.2651050169836071,L2/3 IT_Fam133b
325159,L6 IT,Lhfpl4-201_ENSMUST00000162280,9.296395711290052e-08,0.0005272915647443718,0.2653338755793575,L6 IT_Lhfpl4
439057,L6b,Gid8-201_ENSMUST00000029090,5.97609814840728e-07,0.0031523917732848403,0.265396699744755,L6b_Gid8
14634,L2/3 IT,Polr3h-201_ENSMUST00000023113,7.916752985224678e-07,0.004939262187481677,0.2656163499397439,L2/3 IT_Polr3h
212561,L6 CT,Trpm2-207_ENSMUST00000153842,2.0938405613823682e-10,9.922710420391043e-07,0.265707485556848,L6 CT_Trpm2
53375,L2/3 IT,Zmat1-204_ENSMUST00000151252,4.949184867631821e-18,3.0877964389154933e-14,0.2664073516304214,L2/3 IT_Zmat1
438292,L6b,Dut-202_ENSMUST00000082122,9.597083059906018e-09,5.0624613141004245e-05,0.2669722319472516,L6b_Dut
54107,L2/3 IT,Cyhr1-202_ENSMUST00000081291,2.0604657798022722e-08,0.00012855246000186376,0.2670383932019058,L2/3 IT_Cyhr1
336790,L6 IT,Rap1a-204_ENSMUST00000199969,8.808287202121174e-07,0.00499606050104313,0.26719875463755516,L6 IT_Rap1a
48471,L2/3 IT,Lhfpl4-201_ENSMUST00000162280,1.6553939311787518e-08,0.00010328002736624233,0.26727630960222637,L2/3 IT_Lhfpl4
164973,L5/6 NP,Macf1-201_ENSMUST00000082108,1.223797456142593e-07,0.0005079983240447904,0.2690487289002981,L5/6 NP_Macf1
46408,L2/3 IT,Rps19-203_ENSMUST00000108430,1.5785024964436812e-25,9.848277075312128e-22,0.27000467407898743,L2/3 IT_Rps19
8323,L2/3 IT,Polr2i-201_ENSMUST00000019882,1.5388076364658477e-09,9.600620843910424e-06,0.2704824370527734,L2/3 IT_Polr2i
25716,L2/3 IT,Rngtt-204_ENSMUST00000146870,4.192022817368754e-14,2.615403035756366e-10,0.27064237942987424,L2/3 IT_Rngtt
266422,L6 CT,Utp14a-202_ENSMUST00000125966,7.568075848775765e-19,3.586511144734835e-15,0.2709415527043664,L6 CT_Utp14a
474512,L6b,Hmgn3-201_ENSMUST00000161796,5.46055417424143e-15,2.8804423269123543e-11,0.2715371987375885,L6b_Hmgn3
62715,L2/3 IT,Dpm1-208_ENSMUST00000153258,4.0731045420062e-09,2.5412099237576683e-05,0.27203829676095426,L2/3 IT_Dpm1
465143,L6b,Hpcal4-202_ENSMUST00000106246,5.269746834793148e-08,0.00027797914553533853,0.27245560397081814,L6b_Hpcal4
297259,L6 IT,Trak2-201_ENSMUST00000027186,3.984209508732355e-07,0.0022598436333529917,0.27301915136987454,L6 IT_Trak2
429553,L6b,Samm50-205_ENSMUST00000230659,2.5230719824522553e-07,0.0013309204707435648,0.2730879825009431,L6b_Samm50
24609,L2/3 IT,Nbea-201_ENSMUST00000029374,4.423850312324958e-08,0.0002760040209859541,0.27332349639237363,L2/3 IT_Nbea
278719,L6 IT,Hmgn2-210_ENSMUST00000137456,1.767257858295255e-07,0.0010023886572250685,0.2745222537857295,L6 IT_Hmgn2
36384,L2/3 IT,Atp6v0b-206_ENSMUST00000147845,1.578142040146471e-15,9.846028188473833e-12,0.2748778159247114,L2/3 IT_Atp6v0b
422396,L6b,Ppp2r5c-203_ENSMUST00000220509,6.101177981225905e-09,3.218371385096665e-05,0.2752435365466428,L6b_Ppp2r5c
7333,L2/3 IT,Crk-201_ENSMUST00000017920,1.507701743062437e-06,0.009406551174966544,0.27543058176062685,L2/3 IT_Crk
197367,L5/6 NP,Srrm4-201_ENSMUST00000076124,1.7509635156247206e-06,0.007268249553358215,0.2755037768943096,L5/6 NP_Srrm4
8493,L2/3 IT,Slc16a10-202_ENSMUST00000213488,1.2606382873798775e-22,7.8651222749630565e-19,0.2764589770551442,L2/3 IT_Slc16a10
426497,L6b,Srsf5-205_ENSMUST00000110356,3.3770697639544176e-14,1.7814043004859554e-10,0.27665037844318663,L6b_Srsf5
178551,L5/6 NP,Ndrg4-202_ENSMUST00000073139,9.072695498657146e-08,0.0003766075901492581,0.27665088184647235,L5/6 NP_Ndrg4
442886,L6b,Rab28-201_ENSMUST00000031011,3.868675663472087e-12,2.0407264124815258e-08,0.2787365776984796,L6b_Rab28
471356,L6b,Txndc9-207_ENSMUST00000195032,1.1523491080127292e-13,6.078641544767147e-10,0.278746509638542,L6b_Txndc9
49129,L2/3 IT,Ubr3-201_ENSMUST00000055758,5.158546346931791e-09,3.218417065850745e-05,0.2797276862409319,L2/3 IT_Ubr3
145477,L5/6 NP,Zfp207-204_ENSMUST00000123726,1.8442842215760555e-08,7.655623803762206e-05,0.2806297984900197,L5/6 NP_Zfp207
63234,L2/3 IT,Ubl5-207_ENSMUST00000161595,1.6389231652869001e-10,1.022524162822497e-06,0.2810542673180829,L2/3 IT_Ubl5
433702,L6b,P4hb-201_ENSMUST00000026122,2.1393433212410205e-07,0.0011285036019546384,0.2821863493608081,L6b_P4hb
317498,L6 IT,Apbb1-215_ENSMUST00000190369,2.456393497526059e-07,0.0013932663917967808,0.2832126062539082,L6 IT_Apbb1
6958,L2/3 IT,Tox4-201_ENSMUST00000022766,1.6446177148589889e-07,0.0010260769923005231,0.28368971678583765,L2/3 IT_Tox4
437786,L6b,Pmpca-201_ENSMUST00000076431,8.840241164842469e-07,0.004663227214454402,0.28399836853637384,L6b_Pmpca
297338,L6 IT,Ptp4a1-201_ENSMUST00000027232,7.481296917535696e-07,0.004243391611626247,0.2845993568057992,L6 IT_Ptp4a1
439994,L6b,Rnpc3-203_ENSMUST00000106536,1.005870397657755e-06,0.0053059663476446575,0.28460174917218684,L6b_Rnpc3
53023,L2/3 IT,Ppp4r2-201_ENSMUST00000063854,8.494330604990639e-10,5.29961286445366e-06,0.2853149579370562,L2/3 IT_Ppp4r2
62030,L2/3 IT,Yae1d1-204_ENSMUST00000222796,1.9495609640763373e-07,0.0012163310854872269,0.28607107660430353,L2/3 IT_Yae1d1
17737,L2/3 IT,Gnal-202_ENSMUST00000076605,5.043351113516188e-08,0.000314654675972275,0.28665638195052345,L2/3 IT_Gnal
426363,L6b,Actr10-202_ENSMUST00000220452,5.402602177692789e-07,0.002849872648732946,0.2871194259976484,L6b_Actr10
142638,L5/6 NP,Cdc42-202_ENSMUST00000051477,4.011999045684326e-14,1.6653808038635637e-10,0.2878246410158516,L5/6 NP_Cdc42
457137,L6b,1110032A03Rik-202_ENSMUST00000042576,6.333182976882554e-08,0.0003340754020305547,0.2882885387281715,L6b_1110032A03Rik
44436,L2/3 IT,Zufsp-207_ENSMUST00000219457,9.752350768017861e-15,6.084491644166343e-11,0.28836149261079824,L2/3 IT_Zufsp
448739,L6b,Cog8-201_ENSMUST00000034391,7.449579793083595e-08,0.00039296533408515966,0.288552424374636,L6b_Cog8
450808,L6b,Psmf1-202_ENSMUST00000109869,5.595343891052451e-08,0.0002951543902530168,0.28880325190323,L6b_Psmf1
337670,L6 IT,C230004F18Rik-206_ENSMUST00000231449,9.26080013522928e-07,0.005252725836702048,0.28890736559091446,L6 IT_C230004F18Rik
440535,L6b,Zranb2-208_ENSMUST00000198915,1.5211028489954339e-06,0.008023817528450914,0.2893076038526381,L6b_Zranb2
