,index,name,p_raw,p_corr,es,index_name
74330,Glutamatergic,Tfcp2-206_ENSMUST00000230254,1.5137811137917482e-14,7.416013676465775e-11,0.14033582649666942,Glutamatergic_Tfcp2
824,GABAergic,Pfdn5-205_ENSMUST00000166658,6.841894527914281e-15,1.604424266795899e-11,0.14067738509353678,GABAergic_Pfdn5
87062,Glutamatergic,Gnaq-201_ENSMUST00000025541,4.784902494635516e-07,0.0023441237321219395,0.14294624956599744,Glutamatergic_Gnaq
88272,Glutamatergic,Rps24-202_ENSMUST00000169826,3.852093400898334e-11,1.8871405571000937e-07,0.14327366173003675,Glutamatergic_Rps24
107568,Glutamatergic,Zbtb7a-201_ENSMUST00000048128,2.3077195840778247e-10,1.1305518242397264e-06,0.1434992799616419,Glutamatergic_Zbtb7a
117527,Glutamatergic,Hectd4-201_ENSMUST00000042614,8.743978589571995e-11,4.2836751110313207e-07,0.14365611414911994,Glutamatergic_Hectd4
102374,Glutamatergic,Tecr-201_ENSMUST00000019382,2.593906443774395e-10,1.2707547668050762e-06,0.14401035567025655,Glutamatergic_Tecr
39791,GABAergic,Ube2r2-201_ENSMUST00000040008,1.1298964911676842e-06,0.0026496072717882195,0.14479098794311618,GABAergic_Ube2r2
90266,Glutamatergic,Ncl-202_ENSMUST00000185676,6.276768034330851e-13,3.0749886600186837e-09,0.14609041606965878,Glutamatergic_Ncl
70158,Glutamatergic,Tulp3-206_ENSMUST00000203625,1.3079974508666727e-12,6.4078795117958295e-09,0.14715841273426422,Glutamatergic_Tulp3
82713,Glutamatergic,Naa16-201_ENSMUST00000022597,7.047080219699333e-27,3.4523645996307033e-23,0.14718406227225672,Glutamatergic_Naa16
69862,Glutamatergic,Ift20-203_ENSMUST00000128788,1.0368529411972942e-10,5.079542558925544e-07,0.14800384192148908,Glutamatergic_Ift20
129303,Glutamatergic,Ssb-201_ENSMUST00000090852,9.004243568982985e-15,4.411178924444765e-11,0.1489083309392134,Glutamatergic_Ssb
16265,GABAergic,Noct-202_ENSMUST00000144826,1.7748320341896156e-16,4.1619811201746487e-13,0.15065305510714522,GABAergic_Noct
112093,Glutamatergic,Ptov1-205_ENSMUST00000207416,4.679099906764722e-10,2.2922910443240373e-06,0.15174482384371757,Glutamatergic_Ptov1
84888,Glutamatergic,Tra2b-204_ENSMUST00000161286,4.3666210518743855e-07,0.0021392076533132613,0.15180608335550128,Glutamatergic_Tra2b
134087,Glutamatergic,Tma7-201_ENSMUST00000167504,6.758344841533879e-41,3.3109131378674474e-37,0.15331004273305204,Glutamatergic_Tma7
78500,Glutamatergic,Timm13-201_ENSMUST00000020440,4.635511633684558e-17,2.270937149342065e-13,0.1543105316951472,Glutamatergic_Timm13
94250,Glutamatergic,Fubp1-208_ENSMUST00000198046,1.8297932903095197e-15,8.964157329226338e-12,0.1552959483606815,Glutamatergic_Fubp1
131335,Glutamatergic,Aarsd1-201_ENSMUST00000070395,1.9395067799223638e-06,0.00950164371483966,0.15595076161155674,Glutamatergic_Aarsd1
74816,Glutamatergic,Rpl15-202_ENSMUST00000080281,4.5015903755341875e-09,2.2053291249741986e-05,0.1593478537988018,Glutamatergic_Rpl15
97355,Glutamatergic,Slc30a9-204_ENSMUST00000162372,1.086942084897228e-11,5.32492927391152e-08,0.15945504180443448,Glutamatergic_Slc30a9
77348,Glutamatergic,Fkbp8-201_ENSMUST00000075491,2.6470528094539483e-07,0.0012967911713514893,0.1595575863218901,Glutamatergic_Fkbp8
125633,Glutamatergic,Rpl30-201_ENSMUST00000009039,5.299051772444592e-08,0.00025960054633206056,0.159786042529789,Glutamatergic_Rpl30
77702,Glutamatergic,Arfgef3-202_ENSMUST00000215836,2.769439017749802e-08,0.0001356748174795628,0.15984687922076124,Glutamatergic_Arfgef3
12111,GABAergic,Prpf4b-206_ENSMUST00000221639,1.0664081426808095e-07,0.0002500727094586498,0.16040079399357232,GABAergic_Prpf4b
119248,Glutamatergic,Polr2k-202_ENSMUST00000180159,5.586793910239174e-12,2.7369703366261713e-08,0.16054441106134565,Glutamatergic_Polr2k
81713,Glutamatergic,Ccdc127-201_ENSMUST00000022063,1.7319893857928945e-08,8.48501600099939e-05,0.16105728802600794,Glutamatergic_Ccdc127
99022,Glutamatergic,Cnbp-203_ENSMUST00000113619,2.9121926145012005e-11,1.4266831618441382e-07,0.1617961263267711,Glutamatergic_Cnbp
