,index,name,p_raw,p_corr,es,index_name
101301,Sncg Slc17a8,Chordc1-208_ENSMUST00000217031,1.2269632090546877e-07,0.0006604742954341384,1.0192259407487474,Sncg Slc17a8_Chordc1
61319,L6b Kcnip1_1,Cdc37l1-201_ENSMUST00000050148,9.636859971152745e-07,0.005157647456560949,1.0194191900776146,L6b Kcnip1_1_Cdc37l1
33221,L6 CT Gpr139,Syt1-202_ENSMUST00000105276,1.1263112607196238e-07,0.0006280311589772622,1.0222411080282812,L6 CT Gpr139_Syt1
153395,Sst Crhr2_1,Prkcb-208_ENSMUST00000206495,1.9247607661325776e-09,6.852148327431976e-06,1.0248906725967495,Sst Crhr2_1_Prkcb
157005,Lamp5 Lhx6,Nap1l1-205_ENSMUST00000219143,2.1355097989965736e-07,0.0007335476159553231,1.0282106380761125,Lamp5 Lhx6_Nap1l1
48655,L6 CT Gpr139,Dbn1-201_ENSMUST00000021950,3.0478787795066986e-07,0.0016994972074529352,1.0292939794666447,L6 CT Gpr139_Dbn1
248747,Pvalb Vipr2,Erbb4-202_ENSMUST00000121473,2.544756146542052e-06,0.008942273098948772,1.0303484446577218,Pvalb Vipr2_Erbb4
150878,Lamp5 Lhx6,Uba2-201_ENSMUST00000102746,4.3972803981222007e-10,1.510465816754976e-06,1.0313365761672153,Lamp5 Lhx6_Uba2
362231,Vip Gpc3,Csmd3-205_ENSMUST00000160716,5.693317361813575e-06,0.009616013024103129,1.032057781043703,Vip Gpc3_Csmd3
98483,Vip Chat_1,Gse1-201_ENSMUST00000034279,4.723823786519535e-06,0.009716905528870685,1.0332358537695727,Vip Chat_1_Gse1
131392,Sst Crhr2_1,Snap25-202_ENSMUST00000110098,3.769241814117801e-10,1.341850085825937e-06,1.037427346553435,Sst Crhr2_1_Snap25
139540,Lamp5 Lhx6,Scp2-201_ENSMUST00000030340,2.4170703085759028e-06,0.008302636509958225,1.0390284825377871,Lamp5 Lhx6_Scp2
179494,Lamp5 Lhx6,Polr2h-203_ENSMUST00000231392,1.1236192322930122e-06,0.003859632062926497,1.039209300661161,Lamp5 Lhx6_Polr2h
577485,Vip Serpinf1,Suds3-201_ENSMUST00000086471,1.8943783887932116e-06,0.004953799486694248,1.0408664241689878,Vip Serpinf1_Suds3
617162,Vip Serpinf1,Tcf4-204_ENSMUST00000114978,2.2767811432387117e-07,0.0005953782689569231,1.0464357623325053,Vip Serpinf1_Tcf4
590116,Vip Serpinf1,Nap1l1-205_ENSMUST00000219143,1.0807376929890152e-06,0.002826129067166275,1.0470245270789436,Vip Serpinf1_Nap1l1
85406,L6 IT Sulf_2,Gadd45a-201_ENSMUST00000043098,1.2064157689649245e-06,0.00630352239284173,1.047215324979192,L6 IT Sulf_2_Gadd45a
80970,L6b Kcnip1_2,Fbxl5-201_ENSMUST00000047857,1.0600418540134465e-10,5.824929987803889e-07,1.0495758223393876,L6b Kcnip1_2_Fbxl5
89939,L6b Kcnip1_2,A230006K03Rik-201_ENSMUST00000107533,4.2942898524733365e-07,0.0023597122739340984,1.0508880321241905,L6b Kcnip1_2_A230006K03Rik
32001,L6 CT Gpr139,Ddt-201_ENSMUST00000001716,1.367588260045483e-06,0.007625672138013613,1.0553126823009675,L6 CT Gpr139_Ddt
79054,Sncg Slc17a8,Mul1-201_ENSMUST00000044058,1.9718526746647225e-08,0.00010614482947720202,1.0574789518498249,Sncg Slc17a8_Mul1
598239,Vip Serpinf1,Tmod2-208_ENSMUST00000215614,1.164336751593316e-07,0.00030447406054165215,1.0605275877042795,Vip Serpinf1_Tmod2
92902,Pvalb Gpr149,Ccdc28a-202_ENSMUST00000080860,2.0053179403118165e-06,0.007961112223037912,1.0609466825100964,Pvalb Gpr149_Ccdc28a
13152,L6 CT Gpr139,Slc6a17-206_ENSMUST00000168211,1.2926741233794758e-06,0.007207950911963957,1.0671219795075473,L6 CT Gpr139_Slc6a17
76719,Vip Chat_1,Creb3-201_ENSMUST00000102944,2.3843265490279075e-06,0.004904559711350406,1.0674538720265496,Vip Chat_1_Creb3
84929,Vip Chat_1,Dennd2a-201_ENSMUST00000036877,6.334996965740357e-07,0.0013031088758527914,1.0689587194053618,Vip Chat_1_Dennd2a
106613,Sst Chodl,Trappc1-202_ENSMUST00000102601,2.5097839648205687e-08,8.264718596154133e-05,1.070139133674683,Sst Chodl_Trappc1
7612,Sst C1ql3,Plcb1-202_ENSMUST00000110116,4.99393582655653e-07,0.0017104230205956116,1.0706012339331932,Sst C1ql3_Plcb1
115438,L6b Kcnip1_2,Kctd17-210_ENSMUST00000229290,7.121891375559107e-07,0.003913479310869729,1.0754625297584723,L6b Kcnip1_2_Kctd17
85223,L6 IT Sulf_2,Jazf1-201_ENSMUST00000074541,2.6398541493825397e-09,1.379323793052377e-05,1.0785482192157896,L6 IT Sulf_2_Jazf1
607603,Vip Serpinf1,Npas3-201_ENSMUST00000101432,6.5213474416087275e-09,1.7053323559806824e-05,1.0838462786314247,Vip Serpinf1_Npas3
53158,L6 IT Sulf_1,Ly6e-212_ENSMUST00000190810,1.3766419251531971e-08,8.437438359263945e-05,1.0848555109975235,L6 IT Sulf_1_Ly6e
599415,Vip Serpinf1,Map4-206_ENSMUST00000169851,3.979488769635458e-08,0.00010406363132596724,1.085873394819692,Vip Serpinf1_Map4
612382,Vip Serpinf1,Tango2-201_ENSMUST00000115628,1.9809463716632566e-06,0.005180174761899416,1.0905589986486843,Vip Serpinf1_Tango2
77851,L6b Kcnip1_2,Uqcrh-204_ENSMUST00000134760,2.467379277277497e-07,0.0013558249128639845,1.0960948468754985,L6b Kcnip1_2_Uqcrh
174495,Lamp5 Lhx6,Sptssa-201_ENSMUST00000056228,2.7929466515592534e-06,0.009593771748106035,1.0984810884709284,Lamp5 Lhx6_Sptssa
383127,Vip Htr1f,Serpini1-201_ENSMUST00000029423,5.895868797381989e-06,0.008843803196072983,1.099030090556381,Vip Htr1f_Serpini1
293393,L6 CT Nxph2_2,Hlf-201_ENSMUST00000004051,6.403011582788474e-10,1.9189825713617057e-06,1.1043822055437686,L6 CT Nxph2_2_Hlf
346487,Vip Gpc3,Thrb-202_ENSMUST00000022304,1.322077247634853e-06,0.002232988471255267,1.105489346516395,Vip Gpc3_Thrb
66453,Sncg Slc17a8,Dnlz-201_ENSMUST00000028295,4.396913872469428e-07,0.0023668587375502933,1.1081910451035624,Sncg Slc17a8_Dnlz
34774,Sst C1ql3,BC030500-201_ENSMUST00000062978,1.0543235981895074e-06,0.003611058323799063,1.1170454745773157,Sst C1ql3_BC030500
