,index,transcript_name,p_raw,p_bonferroni
363,L5 IT,Ccdc59-201_ENSMUST00000020049,3.088761518690289e-08,0.0010682790588542232
364,L5 IT,Surf4-201_ENSMUST00000015011,3.381987207491464e-08,0.0011696940955829977
365,L5 IT,Glod4-201_ENSMUST00000017430,3.424415581033246e-08,0.0011843683728561584
366,L5 IT,Yrdc-201_ENSMUST00000102628,3.448190642904604e-08,0.0011925912157549861
367,L5 IT,9530068E07Rik-202_ENSMUST00000109057,3.5533009424211594e-08,0.0012289446639457823
368,L5 IT,Dnm1l-201_ENSMUST00000023477,3.672584455884333e-08,0.0012702000599121555
369,L5 IT,Mrpl19-201_ENSMUST00000032124,3.951806117543929e-08,0.0013667716638137433
370,L5 IT,Idh3a-201_ENSMUST00000167866,4.00681757755376e-08,0.0013857979273727435
371,L5 IT,Ptpra-202_ENSMUST00000077303,4.2014111607553606e-08,0.001453100064058849
372,L5 IT,Mcts1-201_ENSMUST00000000365,4.8192247402211274e-08,0.001666777068652879
373,L5 IT,Mrps26-202_ENSMUST00000145614,5.2163217992397177e-08,0.0018041170574850487
374,L5 IT,Pfn2-202_ENSMUST00000119344,5.721493078805519e-08,0.0019788355962356767
375,L5 IT,Ubald2-201_ENSMUST00000057676,5.80926303444174e-08,0.00200919171309202
376,L5 IT,Tsg101-201_ENSMUST00000014546,5.897282750254226e-08,0.0020396342120029267
377,L5 IT,Cdc123-201_ENSMUST00000043864,5.934817121794691e-08,0.0020526158497439118
378,L5 IT,Zranb2-203_ENSMUST00000106058,6.11792008462253e-08,0.002115943840467548
379,L5 IT,Btf3l4-204_ENSMUST00000102742,6.136483318897824e-08,0.0021223641206740015
380,L5 IT,Wbp11-201_ENSMUST00000116514,6.770747443720226e-08,0.0023417307108850776
381,L5 IT,Cetn3-203_ENSMUST00000223858,7.455078089277637e-08,0.0025784133079575634
382,L5 IT,Ctcf-201_ENSMUST00000005841,7.599885664243764e-08,0.0026284964558353483
383,L5 IT,1110059G10Rik-202_ENSMUST00000118422,8.126855558785349e-08,0.0028107542635615007
384,L5 IT,Fam192a-201_ENSMUST00000034226,8.949334357751441e-08,0.0030952167809719135
385,L5 IT,Nudt16l1-202_ENSMUST00000229961,9.154372002864965e-08,0.003166131100910877
386,L5 IT,2410004B18Rik-201_ENSMUST00000039571,9.281189321857528e-08,0.0032099921388576446
387,L5 IT,Rnf167-201_ENSMUST00000037534,9.293340499975117e-08,0.003214194745321394
388,L5 IT,Azi2-201_ENSMUST00000044454,9.406537700027623e-08,0.0032533451289315537
389,L5 IT,Ap2b1-201_ENSMUST00000018875,1.0081659122226075e-07,0.0034868426240131103
390,L5 IT,Ctdnep1-201_ENSMUST00000108593,1.0621862886224236e-07,0.0036736774978295143
391,L5 IT,Wdr12-203_ENSMUST00000122038,1.1403413050019628e-07,0.003943984437479789
392,L5 IT,Ankrd12-208_ENSMUST00000150766,1.1847819203049573e-07,0.004097686749566725
393,L5 IT,Srpr-201_ENSMUST00000034541,1.287479367223762e-07,0.004452876139480103
394,L5 IT,Wdr61-201_ENSMUST00000051822,1.353722893111573e-07,0.004681985998115687
395,L5 IT,Fbxo31-201_ENSMUST00000059018,1.3684582652563377e-07,0.0047329497562155695
396,L5 IT,Mrps21-201_ENSMUST00000067298,1.395166158050048e-07,0.0048253216742318965
397,L5 IT,Gskip-201_ENSMUST00000051934,1.5020059261655572e-07,0.005194837696236196
398,L5 IT,Fibp-205_ENSMUST00000225141,1.5282690973628666e-07,0.00528567150013921
399,L5 IT,Erp29-203_ENSMUST00000130451,1.8376307376668994e-07,0.006355629669294738
400,L5 IT,2210418O10Rik-201_ENSMUST00000099009,1.844456722341796e-07,0.006379238019891336
401,L5 IT,Gm14296-201_ENSMUST00000099007,1.844456722341796e-07,0.006379238019891336
402,L5 IT,Gm10419-202_ENSMUST00000196693,1.8736494250028165e-07,0.006480203901314741
403,L5 IT,Asah1-203_ENSMUST00000126561,1.9514706984443465e-07,0.0067493565576396165
404,L5 IT,5730455P16Rik-201_ENSMUST00000103225,2.0585528363361744e-07,0.007119710839752293
405,L5 IT,Srp19-201_ENSMUST00000072576,2.1937832470218722e-07,0.007587418738149847
406,L5 IT,Wdr82-201_ENSMUST00000020490,2.3059732310877387e-07,0.007975439017040052
407,L5 IT,Sdf4-204_ENSMUST00000105579,2.403266302052714e-07,0.008311936832279517
408,L5 IT,Fis1-202_ENSMUST00000111094,2.510660966453821e-07,0.008683372018577185
409,L5 IT,Gna11-201_ENSMUST00000043604,2.548342815324783e-07,0.008813698461082294
410,L5 IT,Inpp4a-201_ENSMUST00000027287,2.593766525238067e-07,0.00897080090418838
411,L5 IT,Syf2-201_ENSMUST00000030622,2.6685954280968613e-07,0.009229604147615804
412,L5 IT,Dnajc5-201_ENSMUST00000072334,2.7228823787443443e-07,0.009417360995125188
413,L5 IT,Uba5-201_ENSMUST00000035166,2.7473276677636367e-07,0.009501907471727314
414,L5 IT,Rabggtb-201_ENSMUST00000089950,2.754470753223479e-07,0.009526612547098724
415,L5 PT,Clcn2-204_ENSMUST00000131522,3.2200211779915716e-19,1.113676524620165e-14
416,L5 PT,Magi2-210_ENSMUST00000199384,3.1812313753530345e-18,1.1002606834796005e-13
417,L5 PT,Haghl-211_ENSMUST00000150324,3.7729924234738576e-13,1.3049271595826684e-08
